id,match_api_id,match_date,home_team_api_id,away_team_api_id,away_player_7_name,away_player_7_rating,away_player_7_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Danny Guthrie,56,75
1730,489043,2008-08-16 00:00:00,9825,8659,Do-Heon Kim,71,74
1731,489044,2008-08-16 00:00:00,8472,8650,Steven Gerrard,89,90
1732,489045,2008-08-16 00:00:00,8654,8528,Lee Cattermole,71,78
1733,489046,2008-08-17 00:00:00,10252,8456,Elano,81,84
1734,489047,2008-08-16 00:00:00,8668,8655,Aaron Mokoena,75,78
1735,489048,2008-08-16 00:00:00,8549,8586,Jermaine Jenas,78,82
1736,489049,2008-08-16 00:00:00,8559,10194,Seyi Olofinjana,73,74
1737,489050,2008-08-16 00:00:00,8667,9879,Danny Murphy,72,79
1738,489051,2008-08-17 00:00:00,8455,8462,Lassana Diarra,73,79
1739,489132,2008-10-29 00:00:00,10260,8654,Hayden Mullins,71,78
1740,489133,2008-10-29 00:00:00,9825,8586,Luka Modric,82,90
1741,489134,2008-10-29 00:00:00,8549,8456,Shaun Wright-Phillips,81,84
1742,489135,2008-10-29 00:00:00,8559,8668,Marouane Fellaini,75,82
1743,489136,2008-10-29 00:00:00,8667,8455,Frank Lampard,86,88
1744,489137,2008-10-29 00:00:00,10194,8472,Dean Whitehead,72,79
1745,489138,2008-10-29 00:00:00,8650,8462,Sean Davis,73,78
1746,489139,2008-10-29 00:00:00,10252,8655,Keith Andrews,65,74
1747,489140,2008-10-28 00:00:00,10261,8659,Jonathan Greening,69,75
1748,489141,2008-10-29 00:00:00,9879,8528,Kevin Kilbane,72,75
1749,489142,2008-11-01 00:00:00,10260,8667,Bryan Hughes,70,72
1750,489143,2008-11-01 00:00:00,8586,8650,Steven Gerrard,88,90
1751,489144,2008-11-01 00:00:00,8668,9879,Jimmy Bullard,78,80
1752,489145,2008-11-01 00:00:00,8549,8654,Jack Collison,51,75
1753,489146,2008-11-03 00:00:00,10261,10252,Nigel Reo-Coker,77,85
1754,489147,2008-11-02 00:00:00,8559,8456,Vincent Kompany,79,89
1755,489148,2008-11-01 00:00:00,8659,8655,Keith Andrews,65,74
1756,489149,2008-11-01 00:00:00,8462,8528,Wilson Palacios,75,80
1757,489150,2008-11-01 00:00:00,10194,9825,Cesc Fabregas,88,91
1758,489151,2008-11-01 00:00:00,8455,8472,Dean Whitehead,72,79
1759,489152,2008-11-08 00:00:00,9825,10260,Anderson,82,89
1760,489153,2008-11-08 00:00:00,8650,8659,Borja Valero,74,77
1761,489154,2008-11-08 00:00:00,8472,8462,Sean Davis,73,78
1762,489155,2008-11-08 00:00:00,8654,8668,Tim Cahill,80,82
1763,489156,2008-11-09 00:00:00,10252,8549,Gary O'Neil,74,78
1764,489157,2008-11-09 00:00:00,8456,8586,Tom Huddlestone,77,85
1765,489158,2008-11-09 00:00:00,8655,8455,John Obi Mikel,81,86
1766,489159,2008-11-09 00:00:00,9879,10261,Nicky Butt,73,81
