id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_3_name,home_player_3_rating,home_player_3_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Rio Ferdinand,88,89
1730,489043,2008-08-16 00:00:00,9825,8659,William Gallas,85,86
1731,489044,2008-08-16 00:00:00,8472,8650,Nyron Nosworthy,71,77
1732,489045,2008-08-16 00:00:00,8654,8528,Matthew Upson,79,80
1733,489046,2008-08-17 00:00:00,10252,8456,Curtis Davies,76,85
1734,489047,2008-08-16 00:00:00,8668,8655,Joseph Yobo,80,82
1735,489048,2008-08-16 00:00:00,8549,8586,Emanuel Pogatetz,70,78
1736,489049,2008-08-16 00:00:00,8559,10194,Gary Cahill,70,78
1737,489050,2008-08-16 00:00:00,8667,9879,Michael Turner,67,66
1738,489051,2008-08-17 00:00:00,8455,8462,Ricardo Carvalho,86,87
1739,489132,2008-10-29 00:00:00,10260,8654,Rio Ferdinand,87,89
1740,489133,2008-10-29 00:00:00,9825,8586,William Gallas,84,86
1741,489134,2008-10-29 00:00:00,8549,8456,Chris Riggott,71,80
1742,489135,2008-10-29 00:00:00,8559,8668,Gary Cahill,75,78
1743,489136,2008-10-29 00:00:00,8667,8455,Kamil Zayatte,69,75
1744,489137,2008-10-29 00:00:00,10194,8472,Abdoulaye Faye,74,79
1745,489138,2008-10-29 00:00:00,8650,8462,Sami Hyypiae,77,85
1746,489139,2008-10-29 00:00:00,10252,8655,Martin Laursen,79,81
1747,489140,2008-10-28 00:00:00,10261,8659,Steven Taylor,77,84
1748,489141,2008-10-29 00:00:00,9879,8528,Aaron Hughes,72,78
1749,489142,2008-11-01 00:00:00,10260,8667,Rio Ferdinand,87,89
1750,489143,2008-11-01 00:00:00,8586,8650,Ledley King,81,85
1751,489144,2008-11-01 00:00:00,8668,9879,Joseph Yobo,80,82
1752,489145,2008-11-01 00:00:00,8549,8654,Chris Riggott,71,80
1753,489146,2008-11-03 00:00:00,10261,10252,Steven Taylor,77,84
1754,489147,2008-11-02 00:00:00,8559,8456,Gary Cahill,75,78
1755,489148,2008-11-01 00:00:00,8659,8655,Ryan Donk,70,83
1756,489149,2008-11-01 00:00:00,8462,8528,Sylvain Distin,78,81
1757,489150,2008-11-01 00:00:00,10194,9825,Abdoulaye Faye,74,79
1758,489151,2008-11-01 00:00:00,8455,8472,Alex,82,84
1759,489152,2008-11-08 00:00:00,9825,10260,William Gallas,84,86
1760,489153,2008-11-08 00:00:00,8650,8659,Jamie Carragher,85,86
1761,489154,2008-11-08 00:00:00,8472,8462,Anton Ferdinand,76,83
1762,489155,2008-11-08 00:00:00,8654,8668,James Collins,70,78
1763,489156,2008-11-09 00:00:00,10252,8549,Curtis Davies,76,85
1764,489157,2008-11-09 00:00:00,8456,8586,Micah Richards,82,87
1765,489158,2008-11-09 00:00:00,8655,8455,Zurab Khizanishvili,72,78
1766,489159,2008-11-09 00:00:00,9879,10261,Aaron Hughes,72,78
1767,489160,2008-11-08 00:00:00,8667,8559,Michael Turner,69,71
1768,489161,2008-11-08 00:00:00,8528,10194,Titus Bramble,73,77
1769,489162,2008-11-15 00:00:00,10260,10194,Nemanja Vidic,86,88
1770,489163,2008-11-15 00:00:00,9825,10252,William Gallas,84,86
1771,489164,2008-11-15 00:00:00,8654,8462,James Collins,70,78
1772,489165,2008-11-16 00:00:00,8668,8549,Joseph Yobo,80,82
1773,489166,2008-11-15 00:00:00,10261,8528,Sebastien Bassong,67,82
1774,489167,2008-11-15 00:00:00,8655,8472,Christopher Samba,77,80
1775,489168,2008-11-15 00:00:00,9879,8586,Aaron Hughes,72,78
1776,489169,2008-11-15 00:00:00,8559,8650,Gary Cahill,75,78
1777,489170,2008-11-15 00:00:00,8659,8455,Abdoulaye Meite,74,79
1778,489171,2008-11-16 00:00:00,8667,8456,Michael Turner,69,71
1779,489172,2008-11-22 00:00:00,8650,9879,Jamie Carragher,85,86
1780,489173,2008-11-23 00:00:00,8472,8654,Nyron Nosworthy,72,77
1781,489174,2008-11-23 00:00:00,8586,8655,Jonathan Woodgate,80,84
1782,489175,2008-11-22 00:00:00,10252,10260,Curtis Davies,76,85
1783,489176,2008-11-22 00:00:00,8549,8559,David Wheater,77,83
1784,489177,2008-11-22 00:00:00,8456,9825,Micah Richards,82,87
1785,489178,2008-11-22 00:00:00,8462,8667,Younes Kaboul,74,84
1786,489179,2008-11-22 00:00:00,10194,8659,Abdoulaye Faye,74,79
1787,489180,2008-11-24 00:00:00,8528,8668,Titus Bramble,73,77
1788,489181,2008-11-22 00:00:00,8455,10261,Branislav Ivanovic,78,80
1789,489182,2008-12-01 00:00:00,8650,8654,Jamie Carragher,85,86
1790,489183,2008-11-29 00:00:00,8472,8559,Nyron Nosworthy,72,77
1791,489184,2008-11-30 00:00:00,8586,8668,Jonathan Woodgate,80,84
1792,489185,2008-11-29 00:00:00,10252,9879,Martin Laursen,79,81
1793,489186,2008-11-29 00:00:00,8549,10261,David Wheater,77,83
1794,489187,2008-11-30 00:00:00,8456,10260,Vincent Kompany,79,89
1795,489188,2008-11-30 00:00:00,8462,8655,Sylvain Distin,78,81
1796,489189,2008-11-29 00:00:00,10194,8667,Abdoulaye Faye,74,79
1797,489190,2008-11-29 00:00:00,8528,8659,Titus Bramble,73,77
1798,489191,2008-11-30 00:00:00,8455,9825,Branislav Ivanovic,78,80
1799,489192,2008-12-06 00:00:00,10260,8472,Rio Ferdinand,87,89
1800,489193,2008-12-06 00:00:00,9825,8528,Kolo Toure,85,87
1801,489194,2008-12-08 00:00:00,8654,8586,James Collins,70,78
1802,489195,2008-12-07 00:00:00,8668,10252,Joseph Yobo,80,82
1803,489196,2008-12-06 00:00:00,10261,10194,Fabricio Coloccini,81,85
1804,489197,2008-12-06 00:00:00,8655,8650,Christopher Samba,77,80
1805,489198,2008-12-06 00:00:00,9879,8456,Aaron Hughes,72,78
1806,489199,2008-12-06 00:00:00,8559,8455,Gary Cahill,75,78
1807,489200,2008-12-07 00:00:00,8659,8462,Abdoulaye Meite,74,79
1808,489201,2008-12-06 00:00:00,8667,8549,Michael Turner,69,71
1809,489202,2008-12-13 00:00:00,8650,8667,Sami Hyypiae,77,85
1810,489203,2008-12-13 00:00:00,8472,8659,Anton Ferdinand,76,83
1811,489204,2008-12-13 00:00:00,8586,10260,Michael Dawson,76,84
1812,489205,2008-12-13 00:00:00,10252,8559,Martin Laursen,79,81
1813,489206,2008-12-13 00:00:00,8549,9825,Chris Riggott,71,80
1814,489207,2008-12-13 00:00:00,8456,8668,Micah Richards,82,87
1815,489208,2008-12-14 00:00:00,8462,10261,Sol Campbell,78,87
1816,489209,2008-12-13 00:00:00,10194,9879,Abdoulaye Faye,74,79
1817,489210,2008-12-13 00:00:00,8528,8655,Titus Bramble,73,77
1818,489211,2008-12-14 00:00:00,8455,8654,Alex,82,84
1819,489212,2009-01-14 00:00:00,10260,8528,Nemanja Vidic,86,88
1820,489213,2008-12-21 00:00:00,9825,8650,William Gallas,84,86
1821,489214,2008-12-20 00:00:00,8654,10252,Matthew Upson,79,83
1822,489215,2008-12-22 00:00:00,8668,8455,Joseph Yobo,80,82
1823,489216,2008-12-21 00:00:00,10261,8586,Sebastien Bassong,67,82
1824,489217,2008-12-20 00:00:00,8655,10194,Christopher Samba,77,80
1825,489218,2008-12-20 00:00:00,9879,8549,Aaron Hughes,72,78
1826,489219,2008-12-20 00:00:00,8559,8462,Gary Cahill,75,78
1827,489220,2008-12-21 00:00:00,8659,8456,Abdoulaye Meite,74,79
1828,489221,2008-12-20 00:00:00,8667,8472,Michael Turner,69,71
1829,489222,2008-12-26 00:00:00,8650,8559,Sami Hyypiae,77,85
1830,489224,2008-12-26 00:00:00,8472,8655,Nyron Nosworthy,72,77
1831,489225,2008-12-26 00:00:00,8586,9879,Michael Dawson,76,84
1832,489226,2008-12-26 00:00:00,10252,9825,Curtis Davies,76,85
1833,489227,2008-12-26 00:00:00,8549,8668,Chris Riggott,71,80
1834,489228,2008-12-26 00:00:00,8456,8667,Micah Richards,82,87
1835,489229,2008-12-26 00:00:00,8462,8654,Sol Campbell,78,87
1836,489230,2008-12-26 00:00:00,10194,10260,Abdoulaye Faye,74,79
1837,489231,2008-12-26 00:00:00,8528,10261,Titus Bramble,73,77
1838,489232,2008-12-26 00:00:00,8455,8659,Branislav Ivanovic,78,80
1839,489052,2008-08-23 00:00:00,8650,8549,Jamie Carragher,88,89
1840,489053,2008-08-23 00:00:00,8586,8472,Jonathan Woodgate,82,84
1841,489054,2008-08-23 00:00:00,10261,8559,Steven Taylor,77,80
1842,489055,2008-08-24 00:00:00,8456,8654,Micah Richards,83,87
1843,489056,2008-08-23 00:00:00,8655,8667,Christopher Samba,78,80
1844,489057,2008-08-23 00:00:00,9879,9825,Aaron Hughes,71,78
1845,489058,2008-08-23 00:00:00,8659,8668,Abdoulaye Meite,79,79
1846,489059,2008-08-25 00:00:00,8462,10260,Sol Campbell,81,87
