id,match_api_id,match_date,away_player_9_name,away_player_9_rating,away_player_9_potential
21520,530085,2008-08-31 00:00:00,Raul,82,89
21534,530239,2008-11-08 00:00:00,Duda,74,78
21545,530250,2008-11-15 00:00:00,Jose Maria Guti,83,83
21555,530260,2008-11-22 00:00:00,Kanga Akale,70,67
21566,530331,2008-11-29 00:00:00,Raul,82,89
21576,530341,2008-12-07 00:00:00,Renato,76,78
21578,530343,2008-12-13 00:00:00,Royston Drenthe,75,84
21594,530359,2008-12-20 00:00:00,Ruben Baraja,79,83
21604,530369,2009-01-04 00:00:00,Robert Pires,81,82
21615,530380,2009-01-11 00:00:00,Wesley Sneijder,86,89
21626,530451,2009-01-18 00:00:00,Jaroslav Plasil,70,80
21629,530094,2008-09-14 00:00:00,,,
21639,530454,2009-01-25 00:00:00,Juan Carlos Valeron,80,89
21649,530464,2009-01-31 00:00:00,Wesley Sneijder,86,89
21660,530475,2009-02-07 00:00:00,Jonathan Pereira,72,75
21670,530485,2009-02-15 00:00:00,Marcelo,75,83
21684,530499,2009-02-21 00:00:00,Mark Gonzalez,73,83
21692,530548,2009-02-28 00:00:00,Arjen Robben,86,88
21702,530558,2009-03-07 00:00:00,Simao,84,88
21716,530572,2009-03-14 00:00:00,Arjen Robben,86,88
21727,530583,2009-03-22 00:00:00,Albert Crusat,73,77
21734,530590,2009-04-04 00:00:00,Rafael van der Vaart,85,90
21744,530109,2008-09-21 00:00:00,Gonzalo Higuain,77,87
21755,530601,2009-04-12 00:00:00,Fabian Canobbio,74,79
21765,530611,2009-04-18 00:00:00,Arjen Robben,86,88
21775,530621,2009-04-21 00:00:00,Jaime Gavilan,77,87
21781,530627,2009-04-26 00:00:00,Jose Maria Guti,83,85
21794,530640,2009-05-02 00:00:00,Lionel Messi,90,95
21807,530653,2009-05-09 00:00:00,Marcelo,75,83
21816,530662,2009-05-16 00:00:00,Arjen Robben,86,88
21825,530671,2009-05-24 00:00:00,Jose Manuel Jurado,77,83
21835,530682,2009-05-31 00:00:00,Marcelo,75,83
21841,530116,2008-09-24 00:00:00,Kike Mateo,67,72
21852,530127,2008-09-27 00:00:00,Ruud van Nistelrooy,86,90
21859,530134,2008-10-05 00:00:00,Ivan de la Pena,81,88
21870,530205,2008-10-18 00:00:00,Gonzalo Higuain,77,87
21883,530218,2008-10-26 00:00:00,,,
21895,530230,2008-11-02 00:00:00,Wesley Sneijder,86,89
21898,684585,2009-08-29 00:00:00,Juan Carlos Valeron,80,89
21913,684734,2009-11-07 00:00:00,Marcelo,79,83
21923,684755,2009-11-21 00:00:00,Luis Garcia,79,84
21934,684766,2009-11-29 00:00:00,Kaka,88,92
21944,684776,2009-12-05 00:00:00,Juanma Ortiz,76,80
21955,684787,2009-12-12 00:00:00,Rafael van der Vaart,83,90
21965,684804,2009-12-19 00:00:00,Jermaine Pennant,76,81
21976,684828,2010-01-03 00:00:00,Marcelo,79,83
21986,684844,2010-01-10 00:00:00,Borja Valero,72,77
21997,684866,2010-01-16 00:00:00,Kaka,88,92
22007,684881,2010-01-24 00:00:00,Selim Benachour,74,76
22009,684596,2009-09-12 00:00:00,Esteban Granero,77,83
22018,684885,2010-01-30 00:00:00,Kaka,88,92
22029,684907,2010-02-06 00:00:00,Joan Verdu,75,86
22039,684924,2010-02-13 00:00:00,Kaka,88,92
22050,684945,2010-02-21 00:00:00,Marco Ruben,71,79
22060,684976,2010-02-27 00:00:00,Gonzalo Higuain,84,87
22071,684999,2010-03-06 00:00:00,Diego Capel,79,87
22081,685014,2010-03-14 00:00:00,Rafael van der Vaart,84,89
22092,685036,2010-03-20 00:00:00,Miguel Angel de las Cuevas,76,77
22102,685055,2010-03-25 00:00:00,Rafael van der Vaart,84,89
22113,685072,2010-03-28 00:00:00,Simao,83,86
22119,684609,2009-09-20 00:00:00,Carlos Calvo,70,73
22133,685089,2010-04-04 00:00:00,Rafael van der Vaart,84,89
22144,685104,2010-04-10 00:00:00,Daniel Alves,86,90
22154,685119,2010-04-15 00:00:00,Rafael van der Vaart,84,89
22165,685140,2010-04-18 00:00:00,David Silva,86,90
22175,685153,2010-04-24 00:00:00,Rafael van der Vaart,84,89
22186,685164,2010-05-02 00:00:00,Krisztian Vadocz,70,74
22196,685179,2010-05-05 00:00:00,Kaka,87,92
22207,685197,2010-05-08 00:00:00,Francisco Navarro Yeste,77,77
22217,685211,2010-05-16 00:00:00,Rafael van der Vaart,84,89
22220,684625,2009-09-23 00:00:00,Cristiano Ronaldo,89,94
22230,684648,2009-09-26 00:00:00,Perez Richi,64,64
22241,684663,2009-10-04 00:00:00,Raul,81,89
22251,684681,2009-10-17 00:00:00,Marquitos,75,85
22262,684699,2009-10-24 00:00:00,Kaka,88,92
22272,684713,2009-10-31 00:00:00,Daniel Parejo,71,80
22287,875480,2010-08-29 00:00:00,Sergio Canales,75,88
22293,875668,2010-11-07 00:00:00,Simao,82,86
22302,875680,2010-11-14 00:00:00,Mesut Oezil,83,88
22312,875692,2010-11-20 00:00:00,Iker Muniain,73,81
