id,match_api_id,match_date,home_player_6_name,home_player_6_rating,home_player_6_potential
21520,530085,2008-08-31 00:00:00,Pablo Alvarez,69,78
21534,530239,2008-11-08 00:00:00,Fernando Gago,79,87
21545,530250,2008-11-15 00:00:00,Pedro Leon,74,77
21555,530260,2008-11-22 00:00:00,Wesley Sneijder,86,89
21566,530331,2008-11-29 00:00:00,Esteban Granero,76,83
21576,530341,2008-12-07 00:00:00,Rafael van der Vaart,86,92
21578,530343,2008-12-13 00:00:00,Xavi Hernandez,87,88
21594,530359,2008-12-20 00:00:00,Arjen Robben,84,86
21604,530369,2009-01-04 00:00:00,Wesley Sneijder,86,89
21615,530380,2009-01-11 00:00:00,Enrique Corrales,75,75
21626,530451,2009-01-18 00:00:00,Arjen Robben,84,86
21629,530094,2008-09-14 00:00:00,Mahamadou Diarra,80,87
21639,530454,2009-01-25 00:00:00,Arjen Robben,84,86
21649,530464,2009-01-31 00:00:00,Javier Del Pino,69,74
21660,530475,2009-02-07 00:00:00,Arjen Robben,84,86
21670,530485,2009-02-15 00:00:00,Michel,64,72
21684,530499,2009-02-21 00:00:00,Gonzalo Higuain,77,87
21692,530548,2009-02-28 00:00:00,Hurtado Perez Moises,74,78
21702,530558,2009-03-07 00:00:00,Arjen Robben,86,88
21716,530572,2009-03-14 00:00:00,Javier Martinez,70,76
21727,530583,2009-03-22 00:00:00,Arjen Robben,86,88
21734,530590,2009-04-04 00:00:00,Antonio Apono,65,73
21744,530109,2008-09-21 00:00:00,Juan Valera,71,82
21755,530601,2009-04-12 00:00:00,Lassana Diarra,81,85
21765,530611,2009-04-18 00:00:00,Jesus Vazquez,76,78
21775,530621,2009-04-21 00:00:00,Gonzalo Higuain,82,87
21781,530627,2009-04-26 00:00:00,Jesus Navas,83,92
21794,530640,2009-05-02 00:00:00,Arjen Robben,86,88
21807,530653,2009-05-09 00:00:00,Carlos Marchena,82,85
21816,530662,2009-05-16 00:00:00,Cani,77,82
21825,530671,2009-05-24 00:00:00,Gonzalo Higuain,82,87
21835,530682,2009-05-31 00:00:00,Javad Nekounam,75,82
21841,530116,2008-09-24 00:00:00,,,
21852,530127,2008-09-27 00:00:00,Mehmet Aurelio,77,79
21859,530134,2008-10-05 00:00:00,Gonzalo Higuain,77,87
21870,530205,2008-10-18 00:00:00,Maniche,79,84
21883,530218,2008-10-26 00:00:00,Wesley Sneijder,86,89
21895,530230,2008-11-02 00:00:00,Juanma Ortiz,77,79
21898,684585,2009-08-29 00:00:00,Lassana Diarra,81,85
21913,684734,2009-11-07 00:00:00,Raul Garcia,78,81
21923,684755,2009-11-21 00:00:00,Esteban Granero,77,83
21934,684766,2009-11-29 00:00:00,Xavi Hernandez,87,90
21944,684776,2009-12-05 00:00:00,Esteban Granero,77,83
21955,684787,2009-12-12 00:00:00,David Albelda,78,83
21965,684804,2009-12-19 00:00:00,Lassana Diarra,82,85
21976,684828,2010-01-03 00:00:00,Juanfran,75,77
21986,684844,2010-01-10 00:00:00,Fernando Gago,78,87
21997,684866,2010-01-16 00:00:00,Carlos Gurpegi,71,77
22007,684881,2010-01-24 00:00:00,Lassana Diarra,82,85
22009,684596,2009-09-12 00:00:00,Shunsuke Nakamura,81,84
22018,684885,2010-01-30 00:00:00,Antonio Tomas,69,70
22029,684907,2010-02-06 00:00:00,Esteban Granero,77,83
22039,684924,2010-02-13 00:00:00,Vicente Moreno,68,75
22050,684945,2010-02-21 00:00:00,Lassana Diarra,82,85
22060,684976,2010-02-27 00:00:00,Perez Richi,64,64
22071,684999,2010-03-06 00:00:00,Kaka,87,92
22081,685014,2010-03-14 00:00:00,Carlos Lazaro Vallejo,62,75
22092,685036,2010-03-20 00:00:00,Rafael van der Vaart,84,89
22102,685055,2010-03-25 00:00:00,Derek Boateng,75,75
22113,685072,2010-03-28 00:00:00,Esteban Granero,78,83
22119,684609,2009-09-20 00:00:00,Lassana Diarra,82,85
22133,685089,2010-04-04 00:00:00,Gonzalo Colsa,76,80
22144,685104,2010-04-10 00:00:00,Fernando Gago,78,87
22154,685119,2010-04-15 00:00:00,Fabian Vargas,74,83
22165,685140,2010-04-18 00:00:00,Xabi Alonso,84,87
22175,685153,2010-04-24 00:00:00,Jose Gomes de Moraes Edmilson,75,83
22186,685164,2010-05-02 00:00:00,Fernando Gago,78,87
22196,685179,2010-05-05 00:00:00,Marti Soler,75,80
22207,685197,2010-05-08 00:00:00,Fernando Gago,78,87
22217,685211,2010-05-16 00:00:00,Fernando,73,77
22220,684625,2009-09-23 00:00:00,Santi Cazorla,81,86
22230,684648,2009-09-26 00:00:00,Xabi Alonso,84,87
22241,684663,2009-10-04 00:00:00,Jesus Navas,83,92
22251,684681,2009-10-17 00:00:00,Esteban Granero,77,83
22262,684699,2009-10-24 00:00:00,Michel,73,77
22272,684713,2009-10-31 00:00:00,Lassana Diarra,82,85
22287,875480,2010-08-29 00:00:00,Marti Soler,75,80
22293,875668,2010-11-07 00:00:00,Sami Khedira,80,86
22302,875680,2010-11-14 00:00:00,Alberto Rivera,75,76
22312,875692,2010-11-20 00:00:00,Sami Khedira,80,86
22321,875704,2010-11-29 00:00:00,Xavi Hernandez,87,90
22331,875718,2010-12-04 00:00:00,Sami Khedira,80,86
22340,875730,2010-12-12 00:00:00,Jose Gomes de Moraes Edmilson,73,83
22350,875744,2010-12-19 00:00:00,Sami Khedira,80,86
22359,875759,2011-01-03 00:00:00,Derek Boateng,77,75
22369,875785,2011-01-09 00:00:00,Lassana Diarra,82,85
22378,875809,2011-01-16 00:00:00,Hernan Dario Bernardello,76,77
22397,875513,2010-09-11 00:00:00,Xabi Alonso,85,87
22407,875842,2011-01-23 00:00:00,Fernando Gago,78,87
22417,875866,2011-01-30 00:00:00,Patxi Martinez Punal,73,79
22426,875891,2011-02-06 00:00:00,Lassana Diarra,82,85
22436,875914,2011-02-13 00:00:00,Jose Raul Baena,69,78
22445,875935,2011-02-19 00:00:00,Sami Khedira,80,86
22455,875716,2011-02-26 00:00:00,Ruben Perez,74,82
22464,875752,2011-03-03 00:00:00,Lassana Diarra,80,85
22474,875786,2011-03-06 00:00:00,Mehdi Lacen,74,76
22483,875840,2011-03-12 00:00:00,Angel Di Maria,82,86
22493,875880,2011-03-19 00:00:00,Jose Antonio Reyes,83,85
22506,875547,2010-09-18 00:00:00,Mikel Eizaguirre Aranburu,72,75
22512,875912,2011-04-02 00:00:00,Lassana Diarra,80,85
22522,875952,2011-04-09 00:00:00,Iker Muniain,76,81
22531,875970,2011-04-16 00:00:00,Sami Khedira,81,86
22541,875988,2011-04-23 00:00:00,Hedwiges Maduro,76,82
22550,876003,2011-04-30 00:00:00,Pepe,84,88
22560,875531,2011-05-07 00:00:00,Diego Capel,79,87
22569,875501,2011-05-10 00:00:00,Xabi Alonso,85,87
22579,875471,2011-05-15 00:00:00,Borja Valero,81,83
22588,875447,2011-05-21 00:00:00,Mesut Oezil,84,88
22606,875562,2010-09-21 00:00:00,Xabi Alonso,85,87
22615,875576,2010-09-25 00:00:00,Sergio,72,86
22625,875592,2010-10-03 00:00:00,Sami Khedira,80,86
22634,875611,2010-10-16 00:00:00,Fernando,73,77
22644,875628,2010-10-23 00:00:00,Sami Khedira,80,86
22653,875646,2010-10-30 00:00:00,Abel Aguilar,71,78
22659,1051459,2012-01-22 00:00:00,Esteban Granero,78,81
22673,1051744,2011-10-26 00:00:00,Xabi Alonso,86,87
22681,1051752,2011-10-29 00:00:00,Liassine Cadamuro,66,73
