id,match_api_id,match_date,home_team_api_id,away_team_api_id,away_player_6_name,away_player_6_rating,away_player_6_potential
1729,489042,2008-08-17 00:00:00,10260,10261,James Milner,77,82
1730,489043,2008-08-16 00:00:00,9825,8659,Jonathan Greening,71,75
1731,489044,2008-08-16 00:00:00,8472,8650,Dirk Kuyt,84,85
1732,489045,2008-08-16 00:00:00,8654,8528,Antonio Valencia,76,80
1733,489046,2008-08-17 00:00:00,10252,8456,Kelvin Etuhu,58,69
1734,489047,2008-08-16 00:00:00,8668,8655,David Dunn,73,78
1735,489048,2008-08-16 00:00:00,8549,8586,Aaron Lennon,84,87
1736,489049,2008-08-16 00:00:00,8559,10194,Rory Delap,65,73
1737,489050,2008-08-16 00:00:00,8667,9879,Simon Davies,78,78
1738,489051,2008-08-17 00:00:00,8455,8462,Papa Bouba Diop,77,79
1739,489132,2008-10-29 00:00:00,10260,8654,Valon Behrami,79,86
1740,489133,2008-10-29 00:00:00,9825,8586,David Bentley,82,89
1741,489134,2008-10-29 00:00:00,8549,8456,Vincent Kompany,79,89
1742,489135,2008-10-29 00:00:00,8559,8668,Mikel Arteta,82,83
1743,489136,2008-10-29 00:00:00,8667,8455,John Obi Mikel,81,86
1744,489137,2008-10-29 00:00:00,10194,8472,Steed Malbranque,75,83
1745,489138,2008-10-29 00:00:00,8650,8462,John Utaka,78,82
1746,489139,2008-10-29 00:00:00,10252,8655,Brett Emerton,76,82
1747,489140,2008-10-28 00:00:00,10261,8659,Robert Koren,73,80
1748,489141,2008-10-29 00:00:00,9879,8528,Lee Cattermole,69,78
1749,489142,2008-11-01 00:00:00,10260,8667,Dean Marney,65,82
1750,489143,2008-11-01 00:00:00,8586,8650,Dirk Kuyt,80,85
1751,489144,2008-11-01 00:00:00,8668,9879,Simon Davies,75,78
1752,489145,2008-11-01 00:00:00,8549,8654,Julien Faubert,75,81
1753,489146,2008-11-03 00:00:00,10261,10252,James Milner,80,84
1754,489147,2008-11-02 00:00:00,8559,8456,Stephen Ireland,75,79
1755,489148,2008-11-01 00:00:00,8659,8655,Brett Emerton,76,82
1756,489149,2008-11-01 00:00:00,8462,8528,Antonio Valencia,78,80
1757,489150,2008-11-01 00:00:00,10194,9825,Denilson,76,86
1758,489151,2008-11-01 00:00:00,8455,8472,Steed Malbranque,75,83
1759,489152,2008-11-08 00:00:00,9825,10260,Cristiano Ronaldo,91,94
1760,489153,2008-11-08 00:00:00,8650,8659,Robert Koren,73,80
1761,489154,2008-11-08 00:00:00,8472,8462,Niko Kranjcar,81,82
1762,489155,2008-11-08 00:00:00,8654,8668,Mikel Arteta,82,83
1763,489156,2008-11-09 00:00:00,10252,8549,Jeremie Aliadiere,73,79
1764,489157,2008-11-09 00:00:00,8456,8586,David Bentley,82,89
1765,489158,2008-11-09 00:00:00,8655,8455,Frank Lampard,86,88
1766,489159,2008-11-09 00:00:00,9879,10261,Jonas Gutierrez,76,77
1767,489160,2008-11-08 00:00:00,8667,8559,Kevin Davies,75,79
1768,489161,2008-11-08 00:00:00,8528,10194,Salif Diao,65,74
1769,489162,2008-11-15 00:00:00,10260,10194,Seyi Olofinjana,67,71
1770,489163,2008-11-15 00:00:00,9825,10252,Ashley Young,83,87
1771,489164,2008-11-15 00:00:00,8654,8462,Papa Bouba Diop,75,79
1772,489165,2008-11-16 00:00:00,8668,8549,Gary O'Neil,74,78
1773,489166,2008-11-15 00:00:00,10261,8528,Antonio Valencia,78,80
1774,489167,2008-11-15 00:00:00,8655,8472,Teemu Tainio,73,78
