id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_6_name,home_player_6_rating,home_player_6_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Darren Fletcher,74,79
1730,489043,2008-08-16 00:00:00,9825,8659,Theo Walcott,72,87
1731,489044,2008-08-16 00:00:00,8472,8650,Steed Malbranque,79,83
1732,489045,2008-08-16 00:00:00,8654,8528,Julien Faubert,77,81
1733,489046,2008-08-17 00:00:00,10252,8456,Stiliyan Petrov,81,82
1734,489047,2008-08-16 00:00:00,8668,8655,Mikel Arteta,82,83
1735,489048,2008-08-16 00:00:00,8549,8586,Jeremie Aliadiere,77,79
1736,489049,2008-08-16 00:00:00,8559,10194,Joey O'Brien,68,77
1737,489050,2008-08-16 00:00:00,8667,9879,Richard Garcia,65,67
1738,489051,2008-08-17 00:00:00,8455,8462,Frank Lampard,85,88
1739,489132,2008-10-29 00:00:00,10260,8654,Cristiano Ronaldo,91,94
1740,489133,2008-10-29 00:00:00,9825,8586,Theo Walcott,79,87
1741,489134,2008-10-29 00:00:00,8549,8456,Jeremie Aliadiere,73,79
1742,489135,2008-10-29 00:00:00,8559,8668,Mustapha Riga,75,77
1743,489136,2008-10-29 00:00:00,8667,8455,Dean Marney,65,82
1744,489137,2008-10-29 00:00:00,10194,8472,Tom Soares,68,77
1745,489138,2008-10-29 00:00:00,8650,8462,Jermaine Pennant,76,82
1746,489139,2008-10-29 00:00:00,10252,8655,James Milner,80,84
1747,489140,2008-10-28 00:00:00,10261,8659,Jonas Gutierrez,76,77
1748,489141,2008-10-29 00:00:00,9879,8528,Simon Davies,75,78
1749,489142,2008-11-01 00:00:00,10260,8667,Cristiano Ronaldo,91,94
1750,489143,2008-11-01 00:00:00,8586,8650,David Bentley,82,89
1751,489144,2008-11-01 00:00:00,8668,9879,Steven Pienaar,77,80
1752,489145,2008-11-01 00:00:00,8549,8654,Jeremie Aliadiere,73,79
1753,489146,2008-11-03 00:00:00,10261,10252,Jonas Gutierrez,76,77
1754,489147,2008-11-02 00:00:00,8559,8456,Gavin McCann,72,75
1755,489148,2008-11-01 00:00:00,8659,8655,James Morrison,68,78
1756,489149,2008-11-01 00:00:00,8462,8528,Papa Bouba Diop,75,79
1757,489150,2008-11-01 00:00:00,10194,9825,Amdy Faye,66,76
1758,489151,2008-11-01 00:00:00,8455,8472,Deco,85,90
1759,489152,2008-11-08 00:00:00,9825,10260,Theo Walcott,79,87
1760,489153,2008-11-08 00:00:00,8650,8659,Yossi Benayoun,78,80
1761,489154,2008-11-08 00:00:00,8472,8462,Steed Malbranque,75,83
1762,489155,2008-11-08 00:00:00,8654,8668,Julien Faubert,75,81
1763,489156,2008-11-09 00:00:00,10252,8549,Nigel Reo-Coker,77,85
1764,489157,2008-11-09 00:00:00,8456,8586,Shaun Wright-Phillips,81,84
1765,489158,2008-11-09 00:00:00,8655,8455,Vincenzo Grella,72,76
1766,489159,2008-11-09 00:00:00,9879,10261,Simon Davies,75,78
1767,489160,2008-11-08 00:00:00,8667,8559,Dean Marney,65,82
1768,489161,2008-11-08 00:00:00,8528,10194,Antonio Valencia,78,80
1769,489162,2008-11-15 00:00:00,10260,10194,Cristiano Ronaldo,91,94
1770,489163,2008-11-15 00:00:00,9825,10252,Theo Walcott,79,87
1771,489164,2008-11-15 00:00:00,8654,8462,Valon Behrami,79,86
1772,489165,2008-11-16 00:00:00,8668,8549,Mikel Arteta,82,83
1773,489166,2008-11-15 00:00:00,10261,8528,Jonas Gutierrez,76,77
1774,489167,2008-11-15 00:00:00,8655,8472,Danny Simpson,70,75
1775,489168,2008-11-15 00:00:00,9879,8586,Clint Dempsey,73,76
1776,489169,2008-11-15 00:00:00,8559,8650,Matthew Taylor,74,80
1777,489170,2008-11-15 00:00:00,8659,8455,Robert Koren,73,80
1778,489171,2008-11-16 00:00:00,8667,8456,George Boateng,74,80
1779,489172,2008-11-22 00:00:00,8650,9879,Dirk Kuyt,80,85
1780,489173,2008-11-23 00:00:00,8472,8654,Steed Malbranque,75,83
1781,489174,2008-11-23 00:00:00,8586,8655,Aaron Lennon,80,87
1782,489175,2008-11-22 00:00:00,10252,10260,Stiliyan Petrov,77,82
1783,489176,2008-11-22 00:00:00,8549,8559,Jeremie Aliadiere,73,79
1784,489177,2008-11-22 00:00:00,8456,9825,Shaun Wright-Phillips,81,84
1785,489178,2008-11-22 00:00:00,8462,8667,Papa Bouba Diop,75,79
1786,489179,2008-11-22 00:00:00,10194,8659,Tom Soares,68,77
1787,489180,2008-11-24 00:00:00,8528,8668,Antonio Valencia,78,80
1788,489181,2008-11-22 00:00:00,8455,10261,Frank Lampard,86,88
1789,489182,2008-12-01 00:00:00,8650,8654,Yossi Benayoun,78,80
1790,489183,2008-11-29 00:00:00,8472,8559,Steed Malbranque,75,83
1791,489184,2008-11-30 00:00:00,8586,8668,Aaron Lennon,80,87
1792,489185,2008-11-29 00:00:00,10252,9879,Steve Sidwell,77,81
1793,489186,2008-11-29 00:00:00,8549,10261,Jeremie Aliadiere,73,79
1794,489187,2008-11-30 00:00:00,8456,10260,Shaun Wright-Phillips,81,84
1795,489188,2008-11-30 00:00:00,8462,8655,Glen Little,66,75
1796,489189,2008-11-29 00:00:00,10194,8667,Tom Soares,68,77
1797,489190,2008-11-29 00:00:00,8528,8659,Antonio Valencia,78,80
1798,489191,2008-11-30 00:00:00,8455,9825,John Obi Mikel,81,86
1799,489192,2008-12-06 00:00:00,10260,8472,Ji-Sung Park,78,80
1800,489193,2008-12-06 00:00:00,9825,8528,Denilson,76,86
1801,489194,2008-12-08 00:00:00,8654,8586,Julien Faubert,75,81
1802,489195,2008-12-07 00:00:00,8668,10252,Leon Osman,75,78
1803,489196,2008-12-06 00:00:00,10261,10194,Jonas Gutierrez,76,77
1804,489197,2008-12-06 00:00:00,8655,8650,Brett Emerton,76,82
1805,489198,2008-12-06 00:00:00,9879,8456,Clint Dempsey,73,76
1806,489199,2008-12-06 00:00:00,8559,8455,Kevin Davies,75,79
1807,489200,2008-12-07 00:00:00,8659,8462,James Morrison,68,78
1808,489201,2008-12-06 00:00:00,8667,8549,George Boateng,74,80
1809,489202,2008-12-13 00:00:00,8650,8667,Xabi Alonso,82,87
1810,489203,2008-12-13 00:00:00,8472,8659,Steed Malbranque,75,83
1811,489204,2008-12-13 00:00:00,8586,10260,Aaron Lennon,80,87
1812,489205,2008-12-13 00:00:00,10252,8559,Steve Sidwell,77,81
1813,489206,2008-12-13 00:00:00,8549,9825,Adam Johnson,68,76
1814,489207,2008-12-13 00:00:00,8456,8668,Stephen Ireland,75,79
1815,489208,2008-12-14 00:00:00,8462,10261,Arnold Mvuemba,65,75
1816,489209,2008-12-13 00:00:00,10194,9879,Rory Delap,69,73
1817,489210,2008-12-13 00:00:00,8528,8655,Antonio Valencia,78,80
1818,489211,2008-12-14 00:00:00,8455,8654,John Obi Mikel,81,86
1819,489212,2009-01-14 00:00:00,10260,8528,Cristiano Ronaldo,91,94
1820,489213,2008-12-21 00:00:00,9825,8650,Denilson,76,86
1821,489214,2008-12-20 00:00:00,8654,10252,Jack Collison,51,75
1822,489215,2008-12-22 00:00:00,8668,8455,Philip Neville,76,78
1823,489216,2008-12-21 00:00:00,10261,8586,Jonas Gutierrez,76,77
1824,489217,2008-12-20 00:00:00,8655,10194,Brett Emerton,76,82
1825,489218,2008-12-20 00:00:00,9879,8549,Simon Davies,75,78
1826,489219,2008-12-20 00:00:00,8559,8462,Kevin Davies,75,79
1827,489220,2008-12-21 00:00:00,8659,8456,James Morrison,68,78
1828,489221,2008-12-20 00:00:00,8667,8472,Richard Garcia,65,67
1829,489222,2008-12-26 00:00:00,8650,8559,Yossi Benayoun,78,80
1830,489224,2008-12-26 00:00:00,8472,8655,Steed Malbranque,75,83
1831,489225,2008-12-26 00:00:00,8586,9879,Aaron Lennon,80,87
1832,489226,2008-12-26 00:00:00,10252,9825,James Milner,80,84
1833,489227,2008-12-26 00:00:00,8549,8668,Jeremie Aliadiere,73,79
1834,489228,2008-12-26 00:00:00,8456,8667,Vincent Kompany,79,89
1835,489229,2008-12-26 00:00:00,8462,8654,Glen Little,66,75
1836,489230,2008-12-26 00:00:00,10194,10260,Rory Delap,69,73
1837,489231,2008-12-26 00:00:00,8528,10261,Antonio Valencia,78,80
1838,489232,2008-12-26 00:00:00,8455,8659,Michael Ballack,86,88
1839,489052,2008-08-23 00:00:00,8650,8549,Dirk Kuyt,84,85
1840,489053,2008-08-23 00:00:00,8586,8472,Aaron Lennon,84,87
1841,489054,2008-08-23 00:00:00,10261,8559,James Milner,77,82
1842,489055,2008-08-24 00:00:00,8456,8654,Stephen Ireland,72,76
1843,489056,2008-08-23 00:00:00,8655,8667,Steven Reid,77,79
1844,489057,2008-08-23 00:00:00,9879,9825,Simon Davies,78,78
1845,489058,2008-08-23 00:00:00,8659,8668,James Morrison,72,78
1846,489059,2008-08-25 00:00:00,8462,10260,Papa Bouba Diop,77,79
1847,489060,2008-08-23 00:00:00,10194,10252,Liam Lawrence,67,72
1848,489061,2008-08-24 00:00:00,8528,8455,Antonio Valencia,76,80
1849,489233,2008-12-29 00:00:00,10260,8549,Cristiano Ronaldo,91,94
1850,489234,2008-12-28 00:00:00,9825,8462,Emmanuel Eboue,78,84
1851,489235,2008-12-28 00:00:00,8654,10194,Valon Behrami,79,86
1852,489236,2008-12-28 00:00:00,8668,8472,Mikel Arteta,82,83
1853,489237,2008-12-28 00:00:00,10261,8650,Jonas Gutierrez,76,77
1854,489238,2008-12-28 00:00:00,8655,8456,Brett Emerton,76,82
1855,489239,2008-12-28 00:00:00,9879,8455,Simon Davies,75,78
1856,489240,2008-12-28 00:00:00,8559,8528,Matthew Taylor,74,80
1857,489241,2008-12-28 00:00:00,8659,8586,James Morrison,68,78
1858,489242,2008-12-30 00:00:00,8667,10252,Richard Garcia,65,67
1859,489243,2009-01-11 00:00:00,10260,8455,Cristiano Ronaldo,91,94
1860,489244,2009-01-10 00:00:00,9825,8559,Emmanuel Eboue,78,84
1861,489245,2009-01-10 00:00:00,10252,8659,James Milner,80,84
1862,489246,2009-01-10 00:00:00,8668,8667,Leon Osman,75,78
1863,489247,2009-01-10 00:00:00,8549,8472,Tuncay Sanli,78,81
1864,489248,2009-01-10 00:00:00,10261,8654,Jonas Gutierrez,76,77
1865,489249,2009-03-11 00:00:00,9879,8655,Simon Davies,75,78
1866,489250,2009-02-14 00:00:00,8462,8456,Jermaine Pennant,76,82
1867,489251,2009-01-10 00:00:00,10194,8650,Rory Delap,69,73
1868,489252,2009-01-11 00:00:00,8528,8586,Antonio Valencia,78,80
1869,489253,2009-01-19 00:00:00,8650,8668,Dirk Kuyt,80,85
