id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_7_name,home_player_7_overall_rating,home_player_7_potential,home_player_7_preferred_foot,home_player_7_attacking_work_rate,home_player_7_defensive_work_rate,home_player_7_crossing,home_player_7_finishing,home_player_7_heading_accuracy,home_player_7_short_passing,home_player_7_volleys,home_player_7_dribbling,home_player_7_curve,home_player_7_free_kick_accuracy,home_player_7_long_passing,home_player_7_ball_control,home_player_7_acceleration,home_player_7_sprint_speed,home_player_7_agility,home_player_7_reactions,home_player_7_balance,home_player_7_shot_power,home_player_7_jumping,home_player_7_stamina,home_player_7_strength,home_player_7_long_shots,home_player_7_aggression,home_player_7_interceptions,home_player_7_positioning,home_player_7_vision,home_player_7_penalties,home_player_7_marking,home_player_7_standing_tackle,home_player_7_sliding_tackle,home_player_7_gk_diving,home_player_7_gk_handling,home_player_7_gk_kicking,home_player_7_gk_positioning,home_player_7_gk_reflexes
1729,489042,2008-08-17 00:00:00,10260,10261,Michael Carrick,83,86,right,medium,high,81,67,70,91,67,67,64,78,89,83,74,77,58,85,78,79,72,86,76,82,69,81,88,86,90,78,81,79,9,21,89,21,21
1730,489043,2008-08-16 00:00:00,9825,8659,Emmanuel Eboue,79,84,right,high,high,79,33,76,55,61,74,52,31,61,73,85,86,71,83,79,69,78,87,88,46,86,70,76,69,70,78,87,83,8,22,61,22,22
1731,489044,2008-08-16 00:00:00,8472,8650,Teemu Tainio,78,78,right,medium,high,65,59,60,88,54,61,61,78,75,78,73,70,58,76,72,63,67,80,68,51,40,91,80,78,79,76,81,59,12,20,75,20,20
1732,489045,2008-08-16 00:00:00,8654,8528,Mark Noble,72,81,right,high,high,67,59,58,75,78,68,72,62,68,74,69,67,68,75,61,59,59,83,59,65,76,71,78,80,69,61,71,68,14,25,68,25,25
1733,489046,2008-08-17 00:00:00,10252,8456,Nigel Reo-Coker,78,82,left,medium,high,69,72,69,78,66,71,61,69,73,78,80,84,70,84,76,73,72,90,83,72,88,76,78,68,76,67,72,79,11,23,73,23,23
1734,489047,2008-08-16 00:00:00,8668,8655,Jack Rodwell,72,86,right,medium,high,37,54,76,74,65,48,65,46,70,72,72,72,73,74,79,76,78,79,76,68,63,75,61,78,72,77,77,74,1,21,70,21,21
1735,489048,2008-08-16 00:00:00,8549,8586,Mohamed Shawky,67,68,right,medium,medium,53,42,61,69,51,62,74,47,60,64,75,63,63,62,61,53,53,84,67,51,59,67,60,62,50,51,67,70,7,9,60,12,5
1736,489049,2008-08-16 00:00:00,8559,10194,Kevin Nolan,80,83,right,high,high,75,84,85,81,82,69,60,56,76,79,76,75,47,81,71,81,82,86,83,85,88,84,84,79,82,80,85,77,8,20,76,20,20
1737,489050,2008-08-16 00:00:00,8667,9879,Ian Ashbee,57,65,right,medium,high,38,64,53,58,51,47,44,59,60,51,49,49,61,49,71,52,72,62,57,56,52,52,51,56,47,56,63,71,10,20,60,20,20
1738,489051,2008-08-17 00:00:00,8455,8462,John Obi Mikel,83,86,right,low,high,67,69,74,87,61,77,68,48,74,81,84,80,71,79,82,76,75,90,84,69,78,80,82,78,80,75,80,76,9,21,74,21,21
