id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_11_name,home_player_11_overall_rating,home_player_11_potential,home_player_11_preferred_foot,home_player_11_attacking_work_rate,home_player_11_defensive_work_rate,home_player_11_crossing,home_player_11_finishing,home_player_11_heading_accuracy,home_player_11_short_passing,home_player_11_volleys,home_player_11_dribbling,home_player_11_curve,home_player_11_free_kick_accuracy,home_player_11_long_passing,home_player_11_ball_control,home_player_11_acceleration,home_player_11_sprint_speed,home_player_11_agility,home_player_11_reactions,home_player_11_balance,home_player_11_shot_power,home_player_11_jumping,home_player_11_stamina,home_player_11_strength,home_player_11_long_shots,home_player_11_aggression,home_player_11_interceptions,home_player_11_positioning,home_player_11_vision,home_player_11_penalties,home_player_11_marking,home_player_11_standing_tackle,home_player_11_sliding_tackle,home_player_11_gk_diving,home_player_11_gk_handling,home_player_11_gk_kicking,home_player_11_gk_positioning,home_player_11_gk_reflexes
1729,489042,2008-08-17 00:00:00,10260,10261,Wayne Rooney,90,91,right,high,high,77,90,67,87,89,88,81,85,72,92,88,85,80,89,89,91,79,90,92,89,96,78,83,88,86,28,42,41,11,21,72,21,21
1730,489043,2008-08-16 00:00:00,9825,8659,Nicklas Bendtner,73,81,right,medium,low,55,74,78,65,75,70,67,31,41,70,71,73,67,70,71,75,89,67,73,61,59,58,61,70,63,21,22,44,7,22,41,22,22
1731,489044,2008-08-16 00:00:00,8472,8650,Daryl Murphy,68,78,left,medium,medium,62,69,82,65,57,52,68,52,54,70,65,68,61,69,78,68,82,74,76,62,71,53,66,62,69,30,30,21,5,25,54,25,25
1732,489045,2008-08-16 00:00:00,8654,8528,Dean Ashton,78,82,right,,_0,47,80,84,73,,67,,48,43,77,73,71,,77,,82,,76,87,65,80,79,82,,79,32,59,,5,21,43,21,21
1733,489046,2008-08-17 00:00:00,10252,8456,John Carew,77,83,right,medium,medium,64,75,88,71,78,68,74,40,41,77,79,78,67,80,90,81,91,72,93,69,82,69,75,72,82,22,30,16,5,22,41,22,22
1734,489047,2008-08-16 00:00:00,8668,8655,Aiyegbeni Yakubu,81,83,right,low,low,39,80,74,74,78,74,56,63,60,75,86,88,74,74,78,88,76,74,90,73,77,72,80,66,70,28,40,28,11,21,60,21,21
1735,489048,2008-08-16 00:00:00,8549,8586,Tuncay Sanli,77,81,right,medium,low,79,77,67,71,74,78,72,60,51,77,80,81,76,75,70,75,73,77,70,76,69,64,67,78,77,39,27,29,11,23,51,23,23
1736,489049,2008-08-16 00:00:00,8559,10194,Johan Elmander,85,87,right,high,medium,63,88,78,76,76,86,69,67,49,86,78,82,75,84,79,84,79,77,83,72,69,75,78,77,85,21,28,22,5,21,49,21,21
1737,489050,2008-08-16 00:00:00,8667,9879,Marlon King,76,76,right,medium,low,66,79,70,59,62,77,56,43,44,64,79,81,70,75,69,74,70,77,74,65,69,65,70,66,74,33,41,26,10,15,15,9,10
1738,489051,2008-08-17 00:00:00,8455,8462,Nicolas Anelka,84,85,right,medium,low,64,84,77,71,80,83,76,52,40,82,91,90,74,74,80,84,79,73,74,79,63,78,82,83,80,27,28,31,12,22,40,22,22
1739,489132,2008-10-29 00:00:00,10260,8654,Dimitar Berbatov,86,87,right,low,low,75,92,87,89,91,82,74,80,61,90,77,78,78,85,79,87,85,68,81,77,60,77,86,86,93,22,24,18,7,22,61,22,22
1740,489133,2008-10-29 00:00:00,9825,8586,Emmanuel Adebayor,86,87,right,medium,low,59,90,89,76,84,83,69,44,49,84,82,85,68,87,85,86,87,89,88,79,73,68,86,73,77,23,25,18,8,21,49,21,21
1741,489134,2008-10-29 00:00:00,8549,8456,"Afonso Alves,24",83,88,right,,_0,61,89,79,80,,83,,88,59,82,79,84,,90,,84,,68,77,79,48,68,82,,85,21,21,,8,21,59,21,21
1742,489135,2008-10-29 00:00:00,8559,8668,Johan Elmander,78,87,right,high,medium,63,80,78,76,76,78,69,67,49,81,78,76,75,85,79,84,79,78,84,72,75,75,78,77,87,21,28,22,5,21,49,21,21
1743,489136,2008-10-29 00:00:00,8667,8455,"Daniel Cousin,20",76,82,right,,_0,56,79,78,66,,72,,58,38,70,81,80,,74,,80,,72,78,70,58,59,70,,68,22,34,,9,22,38,22,22
1744,489137,2008-10-29 00:00:00,10194,8472,Ricardo Fuller,74,76,right,medium,low,64,77,65,60,74,75,56,53,54,74,81,85,70,70,73,80,73,46,86,64,65,52,69,71,70,21,30,29,6,22,54,22,22
1745,489138,2008-10-29 00:00:00,8650,8462,Dirk Kuyt,80,85,right,high,high,77,84,87,74,83,70,66,64,58,77,76,78,77,81,81,83,87,90,83,70,82,70,82,79,76,34,42,41,11,20,58,20,20
1746,489139,2008-10-29 00:00:00,10252,8655,Gabriel Agbonlahor,81,86,right,medium,low,65,86,80,65,80,83,61,50,55,70,96,96,79,87,84,78,70,90,70,62,63,70,75,68,70,34,27,44,9,21,55,21,21
1747,489140,2008-10-28 00:00:00,10261,8659,Shola Ameobi,71,79,right,medium,low,50,72,73,58,70,76,54,35,38,76,73,76,71,59,58,73,72,74,79,54,51,55,64,62,59,35,38,32,7,24,38,24,24
