id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_6_name,home_player_6_rating,home_player_6_potential
21518,530023,2008-08-30 00:00:00,10267,8661,Ruben Baraja,79,83
21519,530084,2008-08-31 00:00:00,8371,10205,Javad Nekounam,73,82
21520,530085,2008-08-31 00:00:00,9783,8633,Pablo Alvarez,69,78
21521,530086,2008-08-31 00:00:00,8388,8634,Mario Martinez,69,62
21522,530087,2008-08-31 00:00:00,8696,8302,Jorge Lopez,79,79
21523,530088,2008-08-31 00:00:00,9869,8305,Sergio Matabuena,67,69
21524,530089,2008-08-31 00:00:00,8603,8479,Mehmet Aurelio,77,79
21525,530090,2008-08-30 00:00:00,8558,10281,Roman Martinez,68,74
21526,530091,2008-08-31 00:00:00,8315,9865,Markel Susaeta,67,76
21527,530092,2008-08-31 00:00:00,9906,9864,Maxi Rodriguez,82,85
21528,530233,2008-11-09 00:00:00,8302,8479,Jesus Navas,83,92
21529,530234,2008-11-09 00:00:00,8696,9869,Pedro Munitis,82,85
21530,530235,2008-11-09 00:00:00,8388,8603,Txomin Nagore,72,72
21531,530236,2008-11-09 00:00:00,9783,8558,Sergio,74,84
21532,530237,2008-11-09 00:00:00,8371,9906,Krisztian Vadocz,64,73
21533,530238,2008-11-09 00:00:00,10205,9865,Santi Cazorla,80,86
21534,530239,2008-11-08 00:00:00,8633,9864,Fernando Gago,79,87
21535,530240,2008-11-08 00:00:00,8634,10281,Eidur Gudjohnsen,77,82
21536,530241,2008-11-09 00:00:00,8305,10267,Manu del Moral,74,82
21537,530242,2008-11-09 00:00:00,8661,8315,Fernando Varela,75,78
21538,530243,2008-11-16 00:00:00,8603,8696,Mehmet Aurelio,77,79
21539,530244,2008-11-15 00:00:00,10267,9869,Joaquin,81,87
21540,530245,2008-11-16 00:00:00,8558,8388,Roman Martinez,68,74
21541,530246,2008-11-16 00:00:00,9906,9783,Maxi Rodriguez,82,85
21542,530247,2008-11-16 00:00:00,8315,8371,Javier Martinez,70,73
21543,530248,2008-11-16 00:00:00,9865,8661,Julio Alvarez,75,76
21544,530249,2008-11-16 00:00:00,9864,10205,Miguel Angel,69,72
21545,530250,2008-11-15 00:00:00,10281,8633,Pedro Leon,74,77
21546,530251,2008-11-16 00:00:00,8305,8302,Esteban Granero,76,83
21547,530252,2008-11-16 00:00:00,8479,8634,Sisi,75,79
21548,530253,2008-11-23 00:00:00,8696,8558,Gonzalo Colsa,79,79
21549,530254,2008-11-22 00:00:00,10205,10281,Santi Cazorla,80,86
21550,530255,2008-11-23 00:00:00,8634,8305,Seydou Keita,80,88
21551,530256,2008-11-22 00:00:00,8302,10267,Jesus Navas,83,92
21552,530257,2008-11-23 00:00:00,8371,9865,Patxi Martinez Punal,74,78
21553,530258,2008-11-23 00:00:00,9783,8315,Antonio Tomas,68,80
21554,530259,2008-11-23 00:00:00,8661,9864,Marti Soler,75,79
21555,530260,2008-11-22 00:00:00,8633,8479,Wesley Sneijder,86,89
21556,530261,2008-11-23 00:00:00,8388,9906,Txomin Nagore,72,72
21557,530262,2008-11-23 00:00:00,9869,8603,Sergio Matabuena,67,69
21558,530263,2008-11-30 00:00:00,9865,9783,Juanito,72,79
21559,530324,2008-11-30 00:00:00,8479,10205,Javier Camunas,74,75
21560,530325,2008-11-30 00:00:00,8558,9869,Hurtado Perez Moises,74,78
21561,530326,2008-11-30 00:00:00,9906,8696,Maxi Rodriguez,82,85
21562,530327,2008-11-30 00:00:00,10267,8603,David Albelda,79,83
21563,530328,2008-11-30 00:00:00,10281,8661,Alvaro Rubio,74,78
21564,530329,2008-11-29 00:00:00,8302,8634,Tom de Mul,69,76
21565,530330,2008-11-30 00:00:00,9864,8371,Miguel Angel,69,72
21566,530331,2008-11-29 00:00:00,8305,8633,Esteban Granero,76,83
21567,530332,2008-11-30 00:00:00,8315,8388,Joseba Garmendia,68,69
21568,530333,2008-12-07 00:00:00,9783,9864,Julian de Guzman,77,82
21569,530334,2008-12-07 00:00:00,8371,10281,Javad Nekounam,73,82
21570,530335,2008-12-07 00:00:00,8661,8479,Juan Arango,78,78
21571,530336,2008-12-06 00:00:00,10205,8305,Marcos Senna,84,86
21572,530337,2008-12-06 00:00:00,8634,10267,Xavi Hernandez,87,88
21573,530338,2008-12-07 00:00:00,8388,9865,Javier Del Pino,69,74
21574,530339,2008-12-07 00:00:00,8696,8315,Gonzalo Colsa,79,79
21575,530340,2008-12-07 00:00:00,8603,8558,Mehmet Aurelio,77,79
21576,530341,2008-12-07 00:00:00,8633,8302,Rafael van der Vaart,86,92
21577,530342,2008-12-06 00:00:00,9869,9906,Sergio Matabuena,67,69
21578,530343,2008-12-13 00:00:00,8634,8633,Xavi Hernandez,87,88
21579,530344,2008-12-14 00:00:00,8315,9869,Markel Susaeta,67,76
21580,530345,2008-12-14 00:00:00,9906,8603,Maxi Rodriguez,82,85
21581,530346,2008-12-14 00:00:00,9865,8696,Julio Alvarez,75,76
