id,match_api_id,match_date,home_team_api_id,away_team_api_id,away_player_4_name,away_player_4_rating,away_player_4_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Fabricio Coloccini,78,85
1730,489043,2008-08-16 00:00:00,9825,8659,Abdoulaye Meite,79,79
1731,489044,2008-08-16 00:00:00,8472,8650,Sami Hyypiae,79,85
1732,489045,2008-08-16 00:00:00,8654,8528,Maynor Figueroa,69,75
1733,489046,2008-08-17 00:00:00,10252,8456,Tal Ben Haim,79,79
1734,489047,2008-08-16 00:00:00,8668,8655,Ryan Nelsen,79,80
1735,489048,2008-08-16 00:00:00,8549,8586,Michael Dawson,79,84
1736,489049,2008-08-16 00:00:00,8559,10194,Ryan Shawcross,58,75
1737,489050,2008-08-16 00:00:00,8667,9879,Aaron Hughes,71,78
1738,489051,2008-08-17 00:00:00,8455,8462,Sylvain Distin,79,81
1739,489132,2008-10-29 00:00:00,10260,8654,Matthew Upson,79,83
1740,489133,2008-10-29 00:00:00,9825,8586,Jonathan Woodgate,80,84
1741,489134,2008-10-29 00:00:00,8549,8456,Richard Dunne,80,81
1742,489135,2008-10-29 00:00:00,8559,8668,Phil Jagielka,78,80
1743,489136,2008-10-29 00:00:00,8667,8455,John Terry,88,90
1744,489137,2008-10-29 00:00:00,10194,8472,Danny Collins,71,75
1745,489138,2008-10-29 00:00:00,8650,8462,Sylvain Distin,78,81
1746,489139,2008-10-29 00:00:00,10252,8655,Ryan Nelsen,77,80
1747,489140,2008-10-28 00:00:00,10261,8659,Jonas Olsson,68,69
1748,489141,2008-10-29 00:00:00,9879,8528,Maynor Figueroa,69,75
1749,489142,2008-11-01 00:00:00,10260,8667,Michael Turner,69,71
1750,489143,2008-11-01 00:00:00,8586,8650,Daniel Agger,82,86
1751,489144,2008-11-01 00:00:00,8668,9879,Brede Hangeland,79,80
1752,489145,2008-11-01 00:00:00,8549,8654,Matthew Upson,79,83
1753,489146,2008-11-03 00:00:00,10261,10252,Martin Laursen,79,81
