id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_7_name,home_player_7_rating,home_player_7_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Michael Carrick,83,86
1730,489043,2008-08-16 00:00:00,9825,8659,Emmanuel Eboue,79,84
1731,489044,2008-08-16 00:00:00,8472,8650,Teemu Tainio,78,78
1732,489045,2008-08-16 00:00:00,8654,8528,Mark Noble,72,81
1733,489046,2008-08-17 00:00:00,10252,8456,Nigel Reo-Coker,78,82
1734,489047,2008-08-16 00:00:00,8668,8655,Jack Rodwell,72,86
1735,489048,2008-08-16 00:00:00,8549,8586,Mohamed Shawky,67,68
1736,489049,2008-08-16 00:00:00,8559,10194,Kevin Nolan,80,83
1737,489050,2008-08-16 00:00:00,8667,9879,Ian Ashbee,57,65
1738,489051,2008-08-17 00:00:00,8455,8462,John Obi Mikel,83,86
1739,489132,2008-10-29 00:00:00,10260,8654,Darren Fletcher,76,80
1740,489133,2008-10-29 00:00:00,9825,8586,Cesc Fabregas,88,91
1741,489134,2008-10-29 00:00:00,8549,8456,Gary O'Neil,74,78
1742,489135,2008-10-29 00:00:00,8559,8668,Kevin Nolan,79,83
1743,489136,2008-10-29 00:00:00,8667,8455,Ian Ashbee,67,67
1744,489137,2008-10-29 00:00:00,10194,8472,Seyi Olofinjana,67,71
1745,489138,2008-10-29 00:00:00,8650,8462,Xabi Alonso,82,87
1746,489139,2008-10-29 00:00:00,10252,8655,Stiliyan Petrov,77,82
1747,489140,2008-10-28 00:00:00,10261,8659,Danny Guthrie,74,75
1748,489141,2008-10-29 00:00:00,9879,8528,Jimmy Bullard,78,80
1749,489142,2008-11-01 00:00:00,10260,8667,Michael Carrick,83,86
1750,489143,2008-11-01 00:00:00,8586,8650,Didier Zokora,77,80
1751,489144,2008-11-01 00:00:00,8668,9879,Leon Osman,75,78
1752,489145,2008-11-01 00:00:00,8549,8654,Gary O'Neil,74,78
1753,489146,2008-11-03 00:00:00,10261,10252,Joey Barton,75,82
1754,489147,2008-11-02 00:00:00,8559,8456,Kevin Nolan,79,83
1755,489148,2008-11-01 00:00:00,8659,8655,Jonathan Greening,69,75
1756,489149,2008-11-01 00:00:00,8462,8528,Lassana Diarra,81,82
1757,489150,2008-11-01 00:00:00,10194,9825,Seyi Olofinjana,67,71
1758,489151,2008-11-01 00:00:00,8455,8472,John Obi Mikel,81,86
1759,489152,2008-11-08 00:00:00,9825,10260,Cesc Fabregas,88,91
1760,489153,2008-11-08 00:00:00,8650,8659,Javier Mascherano,85,87
1761,489154,2008-11-08 00:00:00,8472,8462,Dean Whitehead,72,79
1762,489155,2008-11-08 00:00:00,8654,8668,Scott Parker,80,83
1763,489156,2008-11-09 00:00:00,10252,8549,Gareth Barry,84,85
1764,489157,2008-11-09 00:00:00,8456,8586,Stephen Ireland,75,79
1765,489158,2008-11-09 00:00:00,8655,8455,Stephen Warnock,77,83
1766,489159,2008-11-09 00:00:00,9879,10261,Jimmy Bullard,78,80
1767,489160,2008-11-08 00:00:00,8667,8559,Ian Ashbee,67,67
1768,489161,2008-11-08 00:00:00,8528,10194,Wilson Palacios,75,80
1769,489162,2008-11-15 00:00:00,10260,10194,Michael Carrick,83,86
1770,489163,2008-11-15 00:00:00,9825,10252,Cesc Fabregas,88,91
1771,489164,2008-11-15 00:00:00,8654,8462,Scott Parker,80,83
1772,489165,2008-11-16 00:00:00,8668,8549,Marouane Fellaini,75,82
1773,489166,2008-11-15 00:00:00,10261,8528,Joey Barton,75,82
1774,489167,2008-11-15 00:00:00,8655,8472,Keith Andrews,65,74
1775,489168,2008-11-15 00:00:00,9879,8586,Danny Murphy,74,79
1776,489169,2008-11-15 00:00:00,8559,8650,Kevin Nolan,79,83
1777,489170,2008-11-15 00:00:00,8659,8455,James Morrison,68,78
