id,match_api_id,match_date,home_player_1_name,home_player_1_rating,home_player_1_potential
21520,530085,2008-08-31 00:00:00,Daniel Aranzubia,74,80
21534,530239,2008-11-08 00:00:00,Iker Casillas,91,92
21545,530250,2008-11-15 00:00:00,Sergio Asenjo,76,84
21555,530260,2008-11-22 00:00:00,Iker Casillas,91,92
21566,530331,2008-11-29 00:00:00,Roberto Abbondanzieri,82,86
21576,530341,2008-12-07 00:00:00,Iker Casillas,91,92
21578,530343,2008-12-13 00:00:00,Victor Valdes,83,85
21594,530359,2008-12-20 00:00:00,Iker Casillas,91,92
21604,530369,2009-01-04 00:00:00,Iker Casillas,91,92
21615,530380,2009-01-11 00:00:00,Dudu Aouate,73,78
21626,530451,2009-01-18 00:00:00,Iker Casillas,91,92
21629,530094,2008-09-14 00:00:00,Iker Casillas,91,92
21639,530454,2009-01-25 00:00:00,Iker Casillas,91,92
21649,530464,2009-01-31 00:00:00,Juan Pablo,71,74
21660,530475,2009-02-07 00:00:00,Iker Casillas,91,92
21670,530485,2009-02-15 00:00:00,,,
21684,530499,2009-02-21 00:00:00,Iker Casillas,91,92
21692,530548,2009-02-28 00:00:00,Carlos Kameni,81,89
21702,530558,2009-03-07 00:00:00,Iker Casillas,91,92
21716,530572,2009-03-14 00:00:00,Gorka Iraizoz Moreno,76,79
21727,530583,2009-03-22 00:00:00,Iker Casillas,91,92
21734,530590,2009-04-04 00:00:00,Inaki Goitia,64,66
21744,530109,2008-09-21 00:00:00,Tono,79,79
21755,530601,2009-04-12 00:00:00,Iker Casillas,91,92
21765,530611,2009-04-18 00:00:00,Asier Riesgo,71,75
21775,530621,2009-04-21 00:00:00,Iker Casillas,91,92
21781,530627,2009-04-26 00:00:00,Andres Palop,82,90
21794,530640,2009-05-02 00:00:00,Iker Casillas,91,92
21807,530653,2009-05-09 00:00:00,Cesar Sanchez,71,83
21816,530662,2009-05-16 00:00:00,Diego Lopez,83,85
21825,530671,2009-05-24 00:00:00,Iker Casillas,91,92
21835,530682,2009-05-31 00:00:00,Ricardo,72,78
21841,530116,2008-09-24 00:00:00,Iker Casillas,91,92
21852,530127,2008-09-27 00:00:00,Casto Espinosa,64,72
21859,530134,2008-10-05 00:00:00,Iker Casillas,91,92
21870,530205,2008-10-18 00:00:00,Leonardo Franco,79,83
21883,530218,2008-10-26 00:00:00,Iker Casillas,91,92
21895,530230,2008-11-02 00:00:00,Diego Alves,81,84
21898,684585,2009-08-29 00:00:00,Iker Casillas,91,92
21913,684734,2009-11-07 00:00:00,Sergio Asenjo,81,84
21923,684755,2009-11-21 00:00:00,Iker Casillas,90,92
21934,684766,2009-11-29 00:00:00,Victor Valdes,83,85
21944,684776,2009-12-05 00:00:00,Iker Casillas,90,92
21955,684787,2009-12-12 00:00:00,Cesar Sanchez,72,80
21965,684804,2009-12-19 00:00:00,Iker Casillas,90,92
21976,684828,2010-01-03 00:00:00,Ricardo,73,79
21986,684844,2010-01-10 00:00:00,Iker Casillas,90,92
21997,684866,2010-01-16 00:00:00,Gorka Iraizoz Moreno,78,80
22007,684881,2010-01-24 00:00:00,Iker Casillas,90,92
22009,684596,2009-09-12 00:00:00,Carlos Kameni,81,87
22018,684885,2010-01-30 00:00:00,Daniel Aranzubia,77,81
22029,684907,2010-02-06 00:00:00,Iker Casillas,90,92
22039,684924,2010-02-13 00:00:00,Renan,76,82
22050,684945,2010-02-21 00:00:00,Iker Casillas,90,92
22060,684976,2010-02-27 00:00:00,Sergio Aragones,75,65
22071,684999,2010-03-06 00:00:00,Iker Casillas,90,92
22081,685014,2010-03-14 00:00:00,Justo Villar,76,79
22092,685036,2010-03-20 00:00:00,Iker Casillas,90,92
22102,685055,2010-03-25 00:00:00,Oscar Ustari,73,86
22113,685072,2010-03-28 00:00:00,Iker Casillas,90,92
22119,684609,2009-09-20 00:00:00,Iker Casillas,90,92
22133,685089,2010-04-04 00:00:00,Fabio Coltorti,73,82
22144,685104,2010-04-10 00:00:00,Iker Casillas,90,92
22154,685119,2010-04-15 00:00:00,Diego Alves,80,86
22165,685140,2010-04-18 00:00:00,Iker Casillas,90,92
22175,685153,2010-04-24 00:00:00,Roberto,70,73
22186,685164,2010-05-02 00:00:00,Iker Casillas,90,92
22196,685179,2010-05-05 00:00:00,Dudu Aouate,78,81
22207,685197,2010-05-08 00:00:00,Iker Casillas,90,92
22217,685211,2010-05-16 00:00:00,Gustavo Adolfo Munua,73,81
22220,684625,2009-09-23 00:00:00,Diego Lopez,84,85
22230,684648,2009-09-26 00:00:00,Iker Casillas,90,92
22241,684663,2009-10-04 00:00:00,Andres Palop,82,90
22251,684681,2009-10-17 00:00:00,Iker Casillas,90,92
22262,684699,2009-10-24 00:00:00,Juan Pablo,72,75
22272,684713,2009-10-31 00:00:00,Iker Casillas,90,92
22287,875480,2010-08-29 00:00:00,Dudu Aouate,78,81
22293,875668,2010-11-07 00:00:00,Iker Casillas,89,92
22302,875680,2010-11-14 00:00:00,Juan Pablo,77,78
22312,875692,2010-11-20 00:00:00,Iker Casillas,89,92
22321,875704,2010-11-29 00:00:00,Victor Valdes,85,86
22331,875718,2010-12-04 00:00:00,Iker Casillas,89,92
22340,875730,2010-12-12 00:00:00,Leonardo Franco,78,83
22350,875744,2010-12-19 00:00:00,Iker Casillas,89,92
22359,875759,2011-01-03 00:00:00,Jordi Codina,76,79
22369,875785,2011-01-09 00:00:00,Iker Casillas,89,92
22378,875809,2011-01-16 00:00:00,Diego Alves,82,86
22397,875513,2010-09-11 00:00:00,Iker Casillas,89,92
22407,875842,2011-01-23 00:00:00,Iker Casillas,89,92
22417,875866,2011-01-30 00:00:00,Ricardo,75,79
22426,875891,2011-02-06 00:00:00,Iker Casillas,89,92
22436,875914,2011-02-13 00:00:00,Carlos Kameni,82,87
22445,875935,2011-02-19 00:00:00,Antonio Adan,63,69
22455,875716,2011-02-26 00:00:00,Daniel Aranzubia,78,83
22464,875752,2011-03-03 00:00:00,Iker Casillas,88,92
22474,875786,2011-03-06 00:00:00,Tono,75,80
22483,875840,2011-03-12 00:00:00,Iker Casillas,88,92
22493,875880,2011-03-19 00:00:00,David De Gea,80,85
22506,875547,2010-09-18 00:00:00,Claudio Bravo,75,76
22512,875912,2011-04-02 00:00:00,Iker Casillas,88,92
22522,875952,2011-04-09 00:00:00,Gorka Iraizoz Moreno,81,83
22531,875970,2011-04-16 00:00:00,Iker Casillas,88,92
22541,875988,2011-04-23 00:00:00,Vicente Guaita,76,79
22550,876003,2011-04-30 00:00:00,Iker Casillas,88,92
22560,875531,2011-05-07 00:00:00,Javi Varas,71,72
22569,875501,2011-05-10 00:00:00,Antonio Adan,68,74
22579,875471,2011-05-15 00:00:00,Diego Lopez,83,87
22588,875447,2011-05-21 00:00:00,Jerzy Dudek,72,82
22606,875562,2010-09-21 00:00:00,Iker Casillas,89,92
22615,875576,2010-09-25 00:00:00,Manolo Reina,67,69
22625,875592,2010-10-03 00:00:00,Iker Casillas,89,92
22634,875611,2010-10-16 00:00:00,Galatto,75,69
22644,875628,2010-10-23 00:00:00,Iker Casillas,89,92
22653,875646,2010-10-30 00:00:00,Juan Jesus Calatayud,74,75
22659,1051459,2012-01-22 00:00:00,Iker Casillas,89,92
22673,1051744,2011-10-26 00:00:00,Iker Casillas,89,92
22681,1051752,2011-10-29 00:00:00,Claudio Bravo,77,77
22696,1051767,2011-11-06 00:00:00,Iker Casillas,89,92
22703,1051774,2011-11-19 00:00:00,Diego Alves,81,84
22713,1051784,2011-11-26 00:00:00,Iker Casillas,89,92
22725,1051796,2011-12-03 00:00:00,Juan Pablo,73,73
22737,1051808,2011-12-10 00:00:00,Iker Casillas,89,92
22742,1051813,2011-12-17 00:00:00,Javi Varas,76,80
22750,1052021,2012-01-07 00:00:00,Iker Casillas,89,92
22760,1051821,2012-01-14 00:00:00,Dudu Aouate,77,78
22776,1051622,2011-08-28 00:00:00,Roberto,77,81
22782,1051833,2012-05-02 00:00:00,Gorka Iraizoz Moreno,81,83
22791,1051842,2012-01-28 00:00:00,Iker Casillas,89,92
22801,1051852,2012-02-04 00:00:00,Miguel Angel Moya,75,76
22809,1051860,2012-02-12 00:00:00,Iker Casillas,89,92
22819,1051870,2012-02-18 00:00:00,Iker Casillas,89,92
22834,1051885,2012-02-26 00:00:00,Joel Robles,71,76
22846,1051897,2012-03-04 00:00:00,Iker Casillas,89,92
22852,1051903,2012-03-10 00:00:00,Fabri,69,76
22863,1051914,2012-03-18 00:00:00,Iker Casillas,89,92
22873,1051924,2012-03-21 00:00:00,Diego Lopez,83,86
22886,1051677,2011-09-10 00:00:00,Iker Casillas,89,92
22891,1051932,2012-03-24 00:00:00,Iker Casillas,89,92
22906,1051947,2012-03-31 00:00:00,Andres Fernandez,73,73
22911,1051952,2012-04-08 00:00:00,Iker Casillas,89,92
22923,1051964,2012-04-11 00:00:00,Thibaut Courtois,76,87
22930,1051971,2012-04-14 00:00:00,Iker Casillas,89,92
22940,1051981,2012-04-21 00:00:00,Victor Valdes,85,87
22957,1051998,2012-04-29 00:00:00,Iker Casillas,89,92
22967,1052008,2012-05-05 00:00:00,Julio Cesar,70,77
22975,1052016,2012-05-13 00:00:00,Iker Casillas,89,92
22984,1051685,2011-09-18 00:00:00,Gustavo Adolfo Munua,73,74
22989,1051690,2011-09-21 00:00:00,Tono,74,75
22999,1051700,2011-09-24 00:00:00,Iker Casillas,89,92
23016,1051717,2011-10-02 00:00:00,Cristian Alvarez,72,73
23027,1051728,2011-10-15 00:00:00,Iker Casillas,89,92
23033,1051734,2011-10-22 00:00:00,Ruben,69,73
23039,1259332,2012-08-19 00:00:00,Iker Casillas,89,92
23055,1260147,2012-11-03 00:00:00,Iker Casillas,89,90
23064,1260177,2012-11-11 00:00:00,Gustavo Adolfo Munua,75,75
23074,1260203,2012-11-17 00:00:00,Iker Casillas,89,90
23083,1260225,2012-11-24 00:00:00,Adrian,57,64
23093,1260262,2012-12-01 00:00:00,Iker Casillas,89,90
23102,1260235,2012-12-08 00:00:00,Dani Hernandez,68,71
23108,1260272,2012-12-16 00:00:00,Iker Casillas,89,90
23121,1260304,2012-12-22 00:00:00,Wilfredo Caballero,76,76
23131,1260319,2013-01-06 00:00:00,Antonio Adan,73,77
23140,1260331,2013-01-12 00:00:00,Andres Fernandez,77,79
23156,1259985,2012-08-26 00:00:00,Miguel Angel Moya,75,76
23165,1259981,2013-01-20 00:00:00,Diego Alves,82,84
23176,1260005,2013-01-27 00:00:00,Antonio Adan,73,77
23186,1260026,2013-02-02 00:00:00,Tono,76,76
23197,1260048,2013-02-09 00:00:00,Diego Lopez,82,86
23207,1260067,2013-02-17 00:00:00,Diego Lopez,80,84
23217,1260088,2013-02-23 00:00:00,Daniel Aranzubia,76,79
23226,1260112,2013-03-02 00:00:00,Diego Lopez,80,84
23236,1260144,2013-03-10 00:00:00,Javi Varas,76,78
23245,1260170,2013-03-16 00:00:00,Diego Lopez,82,84
23255,1260196,2013-03-30 00:00:00,Roberto,79,84
23266,1260004,2012-09-02 00:00:00,Iker Casillas,89,90
23274,1260223,2013-04-06 00:00:00,Diego Lopez,82,84
23284,1260131,2013-04-14 00:00:00,Gorka Iraizoz Moreno,73,73
23293,1260160,2013-04-20 00:00:00,Diego Lopez,82,84
23303,1260202,2013-04-27 00:00:00,Thibaut Courtois,83,87
23312,1260241,2013-05-04 00:00:00,Diego Lopez,82,84
23322,1260283,2013-05-11 00:00:00,Francisco Casilla,71,74
23331,1260247,2013-05-08 00:00:00,Diego Lopez,82,84
23341,1260278,2013-05-26 00:00:00,Claudio Bravo,80,82
23351,1260303,2013-06-01 00:00:00,Jesus Fernandez,66,70
23367,1260022,2012-09-15 00:00:00,Andres Palop,74,74
23377,1260044,2012-09-24 00:00:00,Ruben,70,73
23387,1260063,2012-09-30 00:00:00,Iker Casillas,89,90
23396,1260080,2012-10-07 00:00:00,Victor Valdes,85,87
23406,1260097,2012-10-20 00:00:00,Iker Casillas,89,90
23415,1260121,2012-10-28 00:00:00,Dudu Aouate,77,77
23419,1505556,2013-08-18 00:00:00,Diego Lopez,82,82
23434,1505908,2013-10-26 00:00:00,Victor Valdes,83,83
23444,1505918,2013-10-30 00:00:00,Diego Lopez,83,83
23455,1505929,2013-11-02 00:00:00,Ruben,72,75
23465,1505939,2013-11-09 00:00:00,Diego Lopez,83,83
23476,1505950,2013-11-23 00:00:00,Esteban,72,72
