id,match_api_id,match_date,home_team_api_id,away_team_api_id,away_player_2_name,away_player_2_rating,away_player_2_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Habib Beye,79,83
1730,489043,2008-08-16 00:00:00,9825,8659,Carl Hoefkens,66,68
1731,489044,2008-08-16 00:00:00,8472,8650,Alvaro Arbeloa,74,79
1732,489045,2008-08-16 00:00:00,8654,8528,Mario Melchiot,76,78
1733,489046,2008-08-17 00:00:00,10252,8456,Vedran Corluka,72,75
1734,489047,2008-08-16 00:00:00,8668,8655,Andre Ooijer,77,78
1735,489048,2008-08-16 00:00:00,8549,8586,Didier Zokora,80,80
1736,489049,2008-08-16 00:00:00,8559,10194,Andy Wilkinson,55,70
1737,489050,2008-08-16 00:00:00,8667,9879,John Pantsil,67,75
1738,489051,2008-08-17 00:00:00,8455,8462,Glen Johnson,75,81
1739,489132,2008-10-29 00:00:00,10260,8654,Julien Faubert,75,81
1740,489133,2008-10-29 00:00:00,9825,8586,Alan Hutton,78,88
1741,489134,2008-10-29 00:00:00,8549,8456,Tal Ben Haim,76,79
1742,489135,2008-10-29 00:00:00,8559,8668,Philip Neville,76,78
1743,489136,2008-10-29 00:00:00,8667,8455,Jose Bosingwa,82,84
1744,489137,2008-10-29 00:00:00,10194,8472,Phil Bardsley,71,73
1745,489138,2008-10-29 00:00:00,8650,8462,Noe Pamarot,72,78
1746,489139,2008-10-29 00:00:00,10252,8655,Danny Simpson,70,75
1747,489140,2008-10-28 00:00:00,10261,8659,Gianni Zuiverloon,70,77
1748,489141,2008-10-29 00:00:00,9879,8528,Emmerson Boyce,67,75
1749,489142,2008-11-01 00:00:00,10260,8667,Paul McShane,70,79
1750,489143,2008-11-01 00:00:00,8586,8650,Alvaro Arbeloa,77,79
1751,489144,2008-11-01 00:00:00,8668,9879,John Pantsil,67,75
1752,489145,2008-11-01 00:00:00,8549,8654,Lucas Neill,78,81
1753,489146,2008-11-03 00:00:00,10261,10252,Luke Young,74,78
1754,489147,2008-11-02 00:00:00,8559,8456,Pablo Zabaleta,78,81
1755,489148,2008-11-01 00:00:00,8659,8655,Danny Simpson,70,75
1756,489149,2008-11-01 00:00:00,8462,8528,Mario Melchiot,75,78
1757,489150,2008-11-01 00:00:00,10194,9825,Bacary Sagna,82,84
1758,489151,2008-11-01 00:00:00,8455,8472,Pascal Chimbonda,76,82
1759,489152,2008-11-08 00:00:00,9825,10260,Gary Neville,79,82
1760,489153,2008-11-08 00:00:00,8650,8659,Gianni Zuiverloon,70,77
1761,489154,2008-11-08 00:00:00,8472,8462,Glen Johnson,77,81
1762,489155,2008-11-08 00:00:00,8654,8668,Philip Neville,76,78
1763,489156,2008-11-09 00:00:00,10252,8549,Justin Hoyte,71,78
1764,489157,2008-11-09 00:00:00,8456,8586,Vedran Corluka,81,81
1765,489158,2008-11-09 00:00:00,8655,8455,Jose Bosingwa,82,84
1766,489159,2008-11-09 00:00:00,9879,10261,Habib Beye,74,83
1767,489160,2008-11-08 00:00:00,8667,8559,Gretar Rafn Steinsson,75,75
1768,489161,2008-11-08 00:00:00,8528,10194,Andy Griffin,67,74
1769,489162,2008-11-15 00:00:00,10260,10194,Andy Griffin,67,74
1770,489163,2008-11-15 00:00:00,9825,10252,Carlos Cuellar,81,83
1771,489164,2008-11-15 00:00:00,8654,8462,Glen Johnson,77,81
1772,489165,2008-11-16 00:00:00,8668,8549,Justin Hoyte,71,78
1773,489166,2008-11-15 00:00:00,10261,8528,Emmerson Boyce,67,75
1774,489167,2008-11-15 00:00:00,8655,8472,Phil Bardsley,71,73
1775,489168,2008-11-15 00:00:00,9879,8586,Vedran Corluka,81,81
