id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_4_name,home_player_4_rating,home_player_4_potential
1729,489042,2008-08-17 00:00:00,10260,10261,Nemanja Vidic,85,88
1730,489043,2008-08-16 00:00:00,9825,8659,Johan Djourou,74,83
1731,489044,2008-08-16 00:00:00,8472,8650,Danny Collins,61,75
1732,489045,2008-08-16 00:00:00,8654,8528,Calum Davenport,75,78
1733,489046,2008-08-17 00:00:00,10252,8456,Martin Laursen,75,81
1734,489047,2008-08-16 00:00:00,8668,8655,Joleon Lescott,79,81
1735,489048,2008-08-16 00:00:00,8549,8586,Robert Huth,80,82
1736,489049,2008-08-16 00:00:00,8559,10194,Andrew O'Brien,76,77
1737,489050,2008-08-16 00:00:00,8667,9879,Anthony Gardner,75,78
1738,489051,2008-08-17 00:00:00,8455,8462,John Terry,90,91
1739,489132,2008-10-29 00:00:00,10260,8654,Nemanja Vidic,86,88
1740,489133,2008-10-29 00:00:00,9825,8586,Mikael Silvestre,76,81
1741,489134,2008-10-29 00:00:00,8549,8456,Emanuel Pogatetz,72,78
1742,489135,2008-10-29 00:00:00,8559,8668,Andrew O'Brien,71,77
1743,489136,2008-10-29 00:00:00,8667,8455,Michael Turner,69,71
1744,489137,2008-10-29 00:00:00,10194,8472,Ryan Shawcross,71,75
1745,489138,2008-10-29 00:00:00,8650,8462,Jamie Carragher,85,86
1746,489139,2008-10-29 00:00:00,10252,8655,Carlos Cuellar,81,83
1747,489140,2008-10-28 00:00:00,10261,8659,Fabricio Coloccini,81,85
1748,489141,2008-10-29 00:00:00,9879,8528,Brede Hangeland,79,80
1749,489142,2008-11-01 00:00:00,10260,8667,Nemanja Vidic,86,88
1750,489143,2008-11-01 00:00:00,8586,8650,Jonathan Woodgate,80,84
1751,489144,2008-11-01 00:00:00,8668,9879,Phil Jagielka,78,80
1752,489145,2008-11-01 00:00:00,8549,8654,Emanuel Pogatetz,72,78
1753,489146,2008-11-03 00:00:00,10261,10252,Fabricio Coloccini,81,85
1754,489147,2008-11-02 00:00:00,8559,8456,Andrew O'Brien,71,77
1755,489148,2008-11-01 00:00:00,8659,8655,Jonas Olsson,68,69
1756,489149,2008-11-01 00:00:00,8462,8528,Sol Campbell,78,87
1757,489150,2008-11-01 00:00:00,10194,9825,Ryan Shawcross,71,75
1758,489151,2008-11-01 00:00:00,8455,8472,John Terry,88,90
1759,489152,2008-11-08 00:00:00,9825,10260,Mikael Silvestre,76,81
1760,489153,2008-11-08 00:00:00,8650,8659,Daniel Agger,82,86
1761,489154,2008-11-08 00:00:00,8472,8462,Nyron Nosworthy,72,77
1762,489155,2008-11-08 00:00:00,8654,8668,Matthew Upson,79,83
1763,489156,2008-11-09 00:00:00,10252,8549,Martin Laursen,79,81
1764,489157,2008-11-09 00:00:00,8456,8586,Richard Dunne,80,81
1765,489158,2008-11-09 00:00:00,8655,8455,Ryan Nelsen,77,80
1766,489159,2008-11-09 00:00:00,9879,10261,Brede Hangeland,79,80
1767,489160,2008-11-08 00:00:00,8667,8559,Kamil Zayatte,69,75
1768,489161,2008-11-08 00:00:00,8528,10194,Emmerson Boyce,67,75
1769,489162,2008-11-15 00:00:00,10260,10194,Jonny Evans,73,78
1770,489163,2008-11-15 00:00:00,9825,10252,Mikael Silvestre,76,81
1771,489164,2008-11-15 00:00:00,8654,8462,Matthew Upson,79,83
1772,489165,2008-11-16 00:00:00,8668,8549,Phil Jagielka,78,80
1773,489166,2008-11-15 00:00:00,10261,8528,Fabricio Coloccini,81,85
1774,489167,2008-11-15 00:00:00,8655,8472,Zurab Khizanishvili,72,78
1775,489168,2008-11-15 00:00:00,9879,8586,Brede Hangeland,79,80
1776,489169,2008-11-15 00:00:00,8559,8650,Andrew O'Brien,71,77
1777,489170,2008-11-15 00:00:00,8659,8455,Jonas Olsson,68,69
1778,489171,2008-11-16 00:00:00,8667,8456,Kamil Zayatte,69,75
1779,489172,2008-11-22 00:00:00,8650,9879,Daniel Agger,82,86
1780,489173,2008-11-23 00:00:00,8472,8654,Anton Ferdinand,76,83
1781,489174,2008-11-23 00:00:00,8586,8655,Ledley King,81,85
1782,489175,2008-11-22 00:00:00,10252,10260,Martin Laursen,79,81
1783,489176,2008-11-22 00:00:00,8549,8559,Emanuel Pogatetz,72,78
1784,489177,2008-11-22 00:00:00,8456,9825,Richard Dunne,80,81
1785,489178,2008-11-22 00:00:00,8462,8667,Sylvain Distin,78,81
1786,489179,2008-11-22 00:00:00,10194,8659,Ryan Shawcross,71,75
1787,489180,2008-11-24 00:00:00,8528,8668,Paul Scharner,74,78
1788,489181,2008-11-22 00:00:00,8455,10261,John Terry,88,90
1789,489182,2008-12-01 00:00:00,8650,8654,Sami Hyypiae,77,85
1790,489183,2008-11-29 00:00:00,8472,8559,Danny Collins,71,75
1791,489184,2008-11-30 00:00:00,8586,8668,Ledley King,81,85
1792,489185,2008-11-29 00:00:00,10252,9879,Curtis Davies,76,85
1793,489186,2008-11-29 00:00:00,8549,10261,Emanuel Pogatetz,72,78
1794,489187,2008-11-30 00:00:00,8456,10260,Richard Dunne,80,81
1795,489188,2008-11-30 00:00:00,8462,8655,Noe Pamarot,72,78
1796,489189,2008-11-29 00:00:00,10194,8667,Leon Cort,70,72
1797,489190,2008-11-29 00:00:00,8528,8659,Emmerson Boyce,67,75
1798,489191,2008-11-30 00:00:00,8455,9825,John Terry,88,90
1799,489192,2008-12-06 00:00:00,10260,8472,Nemanja Vidic,86,88
1800,489193,2008-12-06 00:00:00,9825,8528,Johan Djourou,73,83
1801,489194,2008-12-08 00:00:00,8654,8586,Matthew Upson,79,83
1802,489195,2008-12-07 00:00:00,8668,10252,Phil Jagielka,78,80
1803,489196,2008-12-06 00:00:00,10261,10194,Sebastien Bassong,67,82
1804,489197,2008-12-06 00:00:00,8655,8650,Ryan Nelsen,77,80
1805,489198,2008-12-06 00:00:00,9879,8456,Brede Hangeland,79,80
1806,489199,2008-12-06 00:00:00,8559,8455,Andrew O'Brien,71,77
1807,489200,2008-12-07 00:00:00,8659,8462,Jonas Olsson,68,69
1808,489201,2008-12-06 00:00:00,8667,8549,Kamil Zayatte,69,75
1809,489202,2008-12-13 00:00:00,8650,8667,Jamie Carragher,85,86
1810,489203,2008-12-13 00:00:00,8472,8659,Nyron Nosworthy,72,77
1811,489204,2008-12-13 00:00:00,8586,10260,Jonathan Woodgate,80,84
1812,489205,2008-12-13 00:00:00,10252,8559,Curtis Davies,76,85
1813,489206,2008-12-13 00:00:00,8549,9825,Robert Huth,77,82
1814,489207,2008-12-13 00:00:00,8456,8668,Richard Dunne,80,81
1815,489208,2008-12-14 00:00:00,8462,10261,Sylvain Distin,78,81
1816,489209,2008-12-13 00:00:00,10194,9879,Ibrahima Sonko,66,75
1817,489210,2008-12-13 00:00:00,8528,8655,Paul Scharner,74,78
1818,489211,2008-12-14 00:00:00,8455,8654,John Terry,88,90
1819,489212,2009-01-14 00:00:00,10260,8528,Jonny Evans,73,78
1820,489213,2008-12-21 00:00:00,9825,8650,Johan Djourou,73,83
1821,489214,2008-12-20 00:00:00,8654,10252,Calum Davenport,71,78
1822,489215,2008-12-22 00:00:00,8668,8455,Phil Jagielka,78,80
1823,489216,2008-12-21 00:00:00,10261,8586,Fabricio Coloccini,81,85
1824,489217,2008-12-20 00:00:00,8655,10194,Ryan Nelsen,77,80
1825,489218,2008-12-20 00:00:00,9879,8549,Brede Hangeland,79,80
1826,489219,2008-12-20 00:00:00,8559,8462,Andrew O'Brien,71,77
1827,489220,2008-12-21 00:00:00,8659,8456,Jonas Olsson,68,69
1828,489221,2008-12-20 00:00:00,8667,8472,Kamil Zayatte,69,75
1829,489222,2008-12-26 00:00:00,8650,8559,Daniel Agger,82,86
1830,489224,2008-12-26 00:00:00,8472,8655,Anton Ferdinand,76,83
1831,489225,2008-12-26 00:00:00,8586,9879,Ledley King,81,85
1832,489226,2008-12-26 00:00:00,10252,9825,Zatyiah Knight,57,65
1833,489227,2008-12-26 00:00:00,8549,8668,Emanuel Pogatetz,72,78
1834,489228,2008-12-26 00:00:00,8456,8667,Richard Dunne,80,81
1835,489229,2008-12-26 00:00:00,8462,8654,Sylvain Distin,78,81
1836,489230,2008-12-26 00:00:00,10194,10260,Ryan Shawcross,71,75
1837,489231,2008-12-26 00:00:00,8528,10261,Paul Scharner,74,78
1838,489232,2008-12-26 00:00:00,8455,8659,Alex,82,84
1839,489052,2008-08-23 00:00:00,8650,8549,Martin Skrtel,71,71
1840,489053,2008-08-23 00:00:00,8586,8472,Ledley King,84,85
