id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_3_name,home_player_3_overall_rating,home_player_3_potential,home_player_3_preferred_foot,home_player_3_attacking_work_rate,home_player_3_defensive_work_rate,home_player_3_crossing,home_player_3_finishing,home_player_3_heading_accuracy,home_player_3_short_passing,home_player_3_volleys,home_player_3_dribbling,home_player_3_curve,home_player_3_free_kick_accuracy,home_player_3_long_passing,home_player_3_ball_control,home_player_3_acceleration,home_player_3_sprint_speed,home_player_3_agility,home_player_3_reactions,home_player_3_balance,home_player_3_shot_power,home_player_3_jumping,home_player_3_stamina,home_player_3_strength,home_player_3_long_shots,home_player_3_aggression,home_player_3_interceptions,home_player_3_positioning,home_player_3_vision,home_player_3_penalties,home_player_3_marking,home_player_3_standing_tackle,home_player_3_sliding_tackle,home_player_3_gk_diving,home_player_3_gk_handling,home_player_3_gk_kicking,home_player_3_gk_positioning,home_player_3_gk_reflexes
1729,489042,2008-08-17 00:00:00,10260,10261,Rio Ferdinand,88,89,right,medium,medium,45,39,89,71,51,60,51,27,65,78,78,80,52,82,80,59,87,80,88,29,84,83,84,69,92,89,91,87,8,22,65,22,22
1730,489043,2008-08-16 00:00:00,9825,8659,William Gallas,85,86,right,medium,high,56,37,82,63,46,46,41,24,56,71,87,84,60,83,83,46,86,82,85,33,82,83,85,65,77,91,87,84,7,22,56,22,22
1731,489044,2008-08-16 00:00:00,8472,8650,Nyron Nosworthy,71,77,right,medium,medium,56,39,62,50,38,41,52,32,50,62,80,78,62,66,73,43,83,78,68,33,75,73,67,52,75,75,74,76,7,21,50,21,21
1732,489045,2008-08-16 00:00:00,8654,8528,Matthew Upson,79,80,left,medium,medium,43,20,78,42,40,54,36,32,20,70,64,72,48,73,72,20,86,85,84,51,80,75,78,59,71,79,79,79,10,20,20,20,20
1733,489046,2008-08-17 00:00:00,10252,8456,Curtis Davies,76,85,right,medium,medium,26,21,81,48,32,25,43,14,34,62,76,82,66,81,77,48,82,78,84,25,71,77,73,55,75,73,75,78,14,21,34,21,21
1734,489047,2008-08-16 00:00:00,8668,8655,Joseph Yobo,80,82,right,medium,medium,48,33,79,66,43,52,63,34,62,76,82,83,72,77,78,75,87,83,78,52,87,77,86,60,88,78,83,79,6,23,62,23,23
1735,489048,2008-08-16 00:00:00,8549,8586,Emanuel Pogatetz,70,78,left,medium,medium,67,30,74,60,44,45,45,24,30,70,66,68,50,71,76,70,73,71,71,52,77,68,72,56,68,68,71,74,12,23,30,23,23
1736,489049,2008-08-16 00:00:00,8559,10194,Gary Cahill,70,78,right,high,medium,28,26,70,56,66,52,48,27,53,47,65,76,56,72,68,40,75,85,72,59,70,65,68,63,63,69,72,83,13,21,53,21,21
1737,489050,2008-08-16 00:00:00,8667,9879,Michael Turner,67,66,right,low,high,50,33,71,55,30,37,43,31,53,62,68,62,40,73,66,36,82,67,72,22,37,60,67,52,72,61,67,77,9,22,53,22,22
1738,489051,2008-08-17 00:00:00,8455,8462,Ricardo Carvalho,86,87,right,medium,medium,47,37,85,72,51,42,40,35,62,68,68,73,57,85,79,52,85,86,83,38,80,87,90,70,85,91,90,91,7,21,62,21,21
1739,489132,2008-10-29 00:00:00,10260,8654,Rio Ferdinand,87,89,right,medium,medium,45,39,87,80,51,60,51,27,70,78,78,80,52,82,80,59,87,80,87,29,84,83,84,69,92,89,94,87,10,22,70,22,22
1740,489133,2008-10-29 00:00:00,9825,8586,William Gallas,84,86,right,medium,high,56,37,85,65,46,46,41,24,59,70,81,85,60,83,83,59,86,82,86,50,84,82,83,65,77,82,90,84,7,22,59,22,22
1741,489134,2008-10-29 00:00:00,8549,8456,Chris Riggott,71,80,right,low,high,42,26,78,53,33,44,43,35,42,59,62,70,54,65,63,45,79,75,76,42,75,74,70,57,53,67,75,65,15,5,42,5,9
1742,489135,2008-10-29 00:00:00,8559,8668,Gary Cahill,75,78,right,high,medium,28,26,75,66,66,52,48,27,53,54,70,79,56,72,68,40,75,85,72,59,77,65,68,63,63,73,80,83,13,21,53,21,21
1743,489136,2008-10-29 00:00:00,8667,8455,Kamil Zayatte,69,75,right,medium,high,28,20,77,63,29,43,38,28,59,66,66,50,43,58,89,61,47,62,77,43,74,70,68,33,45,70,70,68,8,20,59,20,20
1744,489137,2008-10-29 00:00:00,10194,8472,Abdoulaye Faye,74,79,right,low,medium,39,21,80,52,34,45,30,24,60,58,60,65,58,68,77,55,80,63,85,31,88,61,62,42,59,68,80,76,11,25,60,25,25
1745,489138,2008-10-29 00:00:00,8650,8462,Sami Hyypiae,77,85,right,,_0,39,37,90,51,55,38,25,33,58,59,50,52,39,64,86,54,84,59,86,22,80,86,85,73,75,77,76,77,12,20,58,20,20
1746,489139,2008-10-29 00:00:00,10252,8655,Martin Laursen,79,81,right,le,ean,44,58,91,62,,39,,36,59,60,71,75,,72,,38,,75,86,37,85,77,76,,68,71,84,,10,23,59,23,23
1747,489140,2008-10-28 00:00:00,10261,8659,Steven Taylor,77,84,right,medium,high,53,34,80,67,58,41,48,23,58,65,71,74,50,75,68,43,73,72,81,24,86,74,73,58,67,75,79,76,12,20,58,20,20
1748,489141,2008-10-29 00:00:00,9879,8528,Aaron Hughes,72,78,right,medium,medium,45,57,76,54,32,63,52,24,55,62,70,73,57,70,76,47,78,78,72,20,76,74,76,60,81,69,79,77,12,20,55,20,20
1749,489142,2008-11-01 00:00:00,10260,8667,Rio Ferdinand,87,89,right,medium,medium,45,39,87,80,51,60,51,27,70,78,78,80,52,82,80,59,87,80,87,29,84,83,84,69,92,89,94,87,10,22,70,22,22
