id,match_api_id,match_date,home_team_api_id_1,away_team_api_id_1,home_player_1_name,home_player_1_rating,home_player_1_potential,id_2,home_team_api_id_2,away_team_api_id_2,home_player_2_name,home_player_2_rating,home_player_2_potential,id_3,home_team_api_id_3,away_team_api_id_3,home_player_3_name,home_player_3_rating,home_player_3_potential,id_4,home_team_api_id_4,away_team_api_id_4,home_player_4_name,home_player_4_rating,home_player_4_potential,id_5,home_team_api_id_5,away_team_api_id_5,home_player_5_name,home_player_5_rating,home_player_5_potential,id_6,home_team_api_id_6,away_team_api_id_6,home_player_6_name,home_player_6_rating,home_player_6_potential,id_7,home_team_api_id_7,away_team_api_id_7,home_player_7_name,home_player_7_rating,home_player_7_potential,id_8,home_team_api_id_8,away_team_api_id_8,home_player_8_name,home_player_8_rating,home_player_8_potential,id_9,home_team_api_id_9,away_team_api_id_9,home_player_9_name,home_player_9_rating,home_player_9_potential,id_10,home_team_api_id_10,away_team_api_id_10,home_player_10_name,home_player_10_rating,home_player_10_potential,id_11,home_team_api_id_11,away_team_api_id_11,home_player_11_name,home_player_11_rating,home_player_11_potential,id_12,home_team_api_id_12,away_team_api_id_12,away_player_1_name,away_player_1_rating,away_player_1_potential,id_13,home_team_api_id_13,away_team_api_id_13,away_player_2_name,away_player_2_rating,away_player_2_potential,id_14,home_team_api_id_14,away_team_api_id_14,away_player_3_name,away_player_3_rating,away_player_3_potential,id_15,home_team_api_id_15,away_team_api_id_15,away_player_4_name,away_player_4_rating,away_player_4_potential,id_16,home_team_api_id_16,away_team_api_id_16,away_player_5_name,away_player_5_rating,away_player_5_potential,id_17,home_team_api_id_17,away_team_api_id_17,away_player_6_name,away_player_6_rating,away_player_6_potential,id_18,home_team_api_id_18,away_team_api_id_18,away_player_7_name,away_player_7_rating,away_player_7_potential,id_19,home_team_api_id_19,away_team_api_id_19,away_player_8_name,away_player_8_rating,away_player_8_potential,id_20,home_team_api_id_20,away_team_api_id_20,away_player_9_name,away_player_9_rating,away_player_9_potential,id_21,home_team_api_id_21,away_team_api_id_21,away_player_10_name,away_player_10_rating,away_player_10_potential,id_22,home_team_api_id_22,away_team_api_id_22,away_player_11_name,away_player_11_rating,away_player_11_potential
21518,530023,2008-08-30 00:00:00,10267,8661,Renan,76.0,78.0,21518,10267,8661,Miguel,79.0,83.0,21518,10267,8661,Raul Albiol,81.0,88.0,21518,10267,8661,Alexis,78.0,85.0,21518,10267,8661,Emiliano Moretti,76.0,83.0,21518,10267,8661,Ruben Baraja,79.0,83.0,21518,10267,8661,David Albelda,79.0,83.0,21518,10267,8661,Pablo Hernandez,78.0,86.0,21518,10267,8661,David Silva,85.0,90.0,21518,10267,8661,Juan Mata,75.0,86.0,21518,10267,8661,David Villa,86.0,93.0,21518,10267,8661,Miguel Angel Moya,77.0,77.0,21518,10267,8661,Jose Miguel Josemi,76.0,77.0,21518,10267,8661,Ivan Ramis,74.0,76.0,21518,10267,8661,Jose Carlos Nunes,75.0,76.0,21518,10267,8661,Enrique Corrales,75.0,75.0,21518,10267,8661,Marti Soler,75.0,79.0,21518,10267,8661,Fernando Varela,75.0,78.0,21518,10267,8661,Juan Arango,78.0,78.0,21518,10267,8661,Jose Manuel Jurado,77.0,83.0,21518,10267,8661,Oscar Trejo,74.0,80.0,21518,10267,8661,Pierre Webo,76.0,77.0
21519,530084,2008-08-31 00:00:00,8371,10205,Ricardo,75.0,78.0,21519,8371,10205,Cesar Azpilicueta,63.0,67.0,21519,8371,10205,Miguel Flano,71.0,76.0,21519,8371,10205,Roversio,65.0,67.0,21519,8371,10205,Nacho Monreal,68.0,73.0,21519,8371,10205,Javad Nekounam,73.0,82.0,21519,8371,10205,Patxi Martinez Punal,74.0,78.0,21519,8371,10205,Juanfran,72.0,76.0,21519,8371,10205,Jaroslav Plasil,70.0,80.0,21519,8371,10205,Santiago Ezquerro,71.0,81.0,21519,8371,10205,Kike Sola,68.0,71.0,21519,8371,10205,Diego Lopez,78.0,82.0,21519,8371,10205,Javier Venta,73.0,75.0,21519,8371,10205,Diego Godin,73.0,79.0,21519,8371,10205,Gonzalo Rodriguez,77.0,84.0,21519,8371,10205,Joan Capdevila,80.0,83.0,21519,8371,10205,Santi Cazorla,80.0,86.0,21519,8371,10205,Sebastian Eguren,75.0,79.0,21519,8371,10205,Marcos Senna,84.0,86.0,21519,8371,10205,Ariel Ibagaza,79.0,82.0,21519,8371,10205,Joseba Llorente,77.0,82.0,21519,8371,10205,Guillermo Franco,78.0,79.0
21520,530085,2008-08-31 00:00:00,9783,8633,Daniel Aranzubia,74.0,80.0,21520,9783,8633,Laure,65.0,74.0,21520,9783,8633,Alberto Lopo,76.0,82.0,21520,9783,8633,Filipe Luis,78.0,85.0,21520,9783,8633,Ze Castro,74.0,80.0,21520,9783,8633,Pablo Alvarez,69.0,78.0,21520,9783,8633,Sergio,74.0,84.0,21520,9783,8633,Julian de Guzman,77.0,82.0,21520,9783,8633,Andres Guardado,79.0,88.0,21520,9783,8633,Joan Verdu,71.0,85.0,21520,9783,8633,Mista,75.0,79.0,21520,9783,8633,Iker Casillas,91.0,92.0,21520,9783,8633,Sergio Ramos,85.0,92.0,21520,9783,8633,Pepe,84.0,86.0,21520,9783,8633,Gabriel Heinze,80.0,83.0,21520,9783,8633,Marcelo,75.0,83.0,21520,9783,8633,Mahamadou Diarra,80.0,87.0,21520,9783,8633,Jose Maria Guti,83.0,83.0,21520,9783,8633,Gonzalo Higuain,77.0,87.0,21520,9783,8633,Raul,82.0,89.0,21520,9783,8633,Arjen Robben,84.0,86.0,21520,9783,8633,Ruud van Nistelrooy,86.0,90.0
21521,530086,2008-08-31 00:00:00,8388,8634,Juan Pablo,71.0,74.0,21521,8388,8634,Juan Ramon Cabrero Juanra,69.0,72.0,21521,8388,8634,,,,21521,8388,8634,Sergio Boris,70.0,72.0,21521,8388,8634,Domingo Cisma,68.0,71.0,21521,8388,8634,Mario Martinez,69.0,62.0,21521,8388,8634,Txomin Nagore,72.0,72.0,21521,8388,8634,Carlos Lorens Bellvis,72.0,74.0,21521,8388,8634,Jose Javier Barkero,71.0,74.0,21521,8388,8634,,,,21521,8388,8634,Gorka Brit,72.0,75.0,21521,8388,8634,Victor Valdes,83.0,85.0,21521,8388,8634,Daniel Alves,85.0,91.0,21521,8388,8634,Carles Puyol,88.0,90.0,21521,8388,8634,Rafael Marquez,83.0,87.0,21521,8388,8634,Eric Abidal,84.0,89.0,21521,8388,8634,Xavi Hernandez,87.0,88.0,21521,8388,8634,Yaya Toure,81.0,86.0,21521,8388,8634,Andres Iniesta,86.0,90.0,21521,8388,8634,Lionel Messi,90.0,95.0,21521,8388,8634,Samuel Eto'o,86.0,90.0,21521,8388,8634,Thierry Henry,85.0,91.0
21522,530087,2008-08-31 00:00:00,8696,8302,Tono,79.0,79.0,21522,8696,8302,Pablo Pinillos,74.0,80.0,21522,8696,8302,Ezequiel Garay,82.0,85.0,21522,8696,8302,Ivan Marcano,56.0,68.0,21522,8696,8302,Christian Fernandez,57.0,61.0,21522,8696,8302,Jorge Lopez,79.0,79.0,21522,8696,8302,Gonzalo Colsa,79.0,79.0,21522,8696,8302,Mehdi Lacen,68.0,75.0,21522,8696,8302,Oscar Serrano,74.0,73.0,21522,8696,8302,Pedro Munitis,82.0,85.0,21522,8696,8302,Jonathan Pereira,72.0,75.0,21522,8696,8302,Andres Palop,82.0,90.0,21522,8696,8302,Abdoulay Konko,76.0,78.0,21522,8696,8302,Sebastien Squillaci,81.0,84.0,21522,8696,8302,David Prieto,68.0,74.0,21522,8696,8302,Fernando Navarro,77.0,80.0,21522,8696,8302,Jesus Navas,83.0,92.0,21522,8696,8302,Enzo Maresca,74.0,81.0,21522,8696,8302,Romaric,80.0,85.0,21522,8696,8302,Adriano,78.0,86.0,21522,8696,8302,Frederic Kanoute,83.0,84.0,21522,8696,8302,Luis Fabiano,86.0,86.0
21523,530088,2008-08-31 00:00:00,9869,8305,Sergio Sanchez,67.0,66.0,21523,9869,8305,Rafael Sastre,66.0,67.0,21523,9869,8305,Ivan Hernandez,68.0,72.0,21523,9869,8305,Jorge Garcia,70.0,73.0,21523,9869,8305,Roberto Canella,64.0,69.0,21523,9869,8305,Sergio Matabuena,67.0,69.0,21523,9869,8305,Michel,64.0,72.0,21523,9869,8305,,,,21523,9869,8305,Kike Mateo,67.0,72.0,21523,9869,8305,Diego Castro,64.0,69.0,21523,9869,8305,David Barral,72.0,73.0,21523,9869,8305,Roberto Abbondanzieri,82.0,86.0,21523,9869,8305,David Cortes,74.0,76.0,21523,9869,8305,Cata Diaz,80.0,85.0,21523,9869,8305,Mario Alvarez,75.0,78.0,21523,9869,8305,Lucas Matias Licht,76.0,80.0,21523,9869,8305,Joffre David Guerron,74.0,76.0,21523,9869,8305,Francisco Javier Casquero,75.0,83.0,21523,9869,8305,Fabio Celestini,76.0,77.0,21523,9869,8305,Jaime Gavilan,77.0,87.0,21523,9869,8305,Juan Albin,75.0,81.0,21523,9869,8305,Manu del Moral,74.0,82.0
21524,530089,2008-08-31 00:00:00,8603,8479,Casto Espinosa,64.0,72.0,21524,8603,8479,Juanito,79.0,83.0,21524,8603,8479,Arturo Arzu,68.0,75.0,21524,8603,8479,Fernando Vega,67.0,68.0,21524,8603,8479,Abella Perez Damia,65.0,72.0,21524,8603,8479,Mehmet Aurelio,77.0,79.0,21524,8603,8479,Juande,63.0,73.0,21524,8603,8479,Achille Emana,79.0,78.0,21524,8603,8479,Jesus Capi,73.0,78.0,21524,8603,8479,Marko Babic,69.0,86.0,21524,8603,8479,Mariano Pavone,76.0,80.0,21524,8603,8479,Asier Riesgo,71.0,75.0,21524,8603,8479,Iago Bouzon,74.0,84.0,21524,8603,8479,Nasief Morris,75.0,77.0,21524,8603,8479,Cesar Arzo,73.0,80.0,21524,8603,8479,Hipolito Poli,71.0,73.0,21524,8603,8479,Javier Camunas,74.0,75.0,21524,8603,8479,Javi Fuego,72.0,74.0,21524,8603,8479,Jesus Vazquez,76.0,75.0,21524,8603,8479,"Fernandez Aitor Tornavaca,29",72.0,75.0,21524,8603,8479,Marco Ruben,72.0,79.0,21524,8603,8479,Adrian Colunga,70.0,76.0
21525,530090,2008-08-30 00:00:00,8558,10281,Carlos Kameni,81.0,89.0,21525,8558,10281,Sergio Sanchez,65.0,72.0,21525,8558,10281,Daniel Jarque,77.0,81.0,21525,8558,10281,,,,21525,8558,10281,Gregory Beranger,70.0,73.0,21525,8558,10281,Roman Martinez,68.0,74.0,21525,8558,10281,Hurtado Perez Moises,74.0,78.0,21525,8558,10281,Ivan de la Pena,81.0,88.0,21525,8558,10281,Valdo,78.0,80.0,21525,8558,10281,Raul Tamudo,81.0,86.0,21525,8558,10281,Luis Garcia,78.0,83.0,21525,8558,10281,Sergio Asenjo,76.0,84.0,21525,8558,10281,Pedro Lopez,73.0,77.0,21525,8558,10281,Luis Prieto,73.0,75.0,21525,8558,10281,Jose Antonio Garcia Calvo,74.0,80.0,21525,8558,10281,Alberto Rey,71.0,76.0,21525,8558,10281,Angel Manuel Vivar Dorado,70.0,78.0,21525,8558,10281,Alvaro Rubio,74.0,78.0,21525,8558,10281,Marcos Aguirre,73.0,67.0,21525,8558,10281,Borja Fernandez,73.0,79.0,21525,8558,10281,Jonathan Sesma,73.0,77.0,21525,8558,10281,Henok Goitom,74.0,76.0
21526,530091,2008-08-31 00:00:00,8315,9865,Gorka Iraizoz Moreno,76.0,79.0,21526,8315,9865,Andoni Iraola,72.0,77.0,21526,8315,9865,Ustaritz,69.0,71.0,21526,8315,9865,Aitor Ocio,76.0,76.0,21526,8315,9865,,,,21526,8315,9865,Markel Susaeta,67.0,76.0,21526,8315,9865,Carlos Gurpegi,74.0,74.0,21526,8315,9865,Javier Martinez,70.0,73.0,21526,8315,9865,Francisco Navarro Yeste,80.0,82.0,21526,8315,9865,Fernando Llorente,72.0,76.0,21526,8315,9865,,,,21526,8315,9865,Diego Alves,81.0,84.0,21526,8315,9865,Bruno Saltor,65.0,71.0,21526,8315,9865,Chico,64.0,68.0,21526,8315,9865,Hernan Pellerano,71.0,78.0,21526,8315,9865,Mane,67.0,68.0,21526,8315,9865,Juanito,72.0,79.0,21526,8315,9865,Juanma Ortiz,77.0,79.0,21526,8315,9865,Julio Alvarez,75.0,76.0,21526,8315,9865,Corona,73.0,79.0,21526,8315,9865,Pablo Piatti,70.0,79.0,21526,8315,9865,Alvaro Negredo,78.0,82.0
21527,530092,2008-08-31 00:00:00,9906,9864,Gregory Coupet,79.0,83.0,21527,9906,9864,Giourkas Seitaridis,77.0,82.0,21527,9906,9864,Johnny Heitinga,78.0,83.0,21527,9906,9864,Tomas Ujfalusi,81.0,84.0,21527,9906,9864,Mariano Pernia,74.0,79.0,21527,9906,9864,Maxi Rodriguez,82.0,85.0,21527,9906,9864,Maniche,79.0,84.0,21527,9906,9864,Paulo Assuncao,78.0,80.0,21527,9906,9864,Simao,84.0,88.0,21527,9906,9864,Sergio Aguero,84.0,90.0,21527,9906,9864,Diego Forlan,83.0,85.0,21527,9906,9864,Francesco Arnau,70.0,74.0,21527,9906,9864,Jesus Gamez,68.0,75.0,21527,9906,9864,Iban Javier Cuadrado,67.0,72.0,21527,9906,9864,Weligton,68.0,72.0,21527,9906,9864,Nacho Perez,73.0,79.0,21527,9906,9864,Miguel Angel,69.0,72.0,21527,9906,9864,Lolo,67.0,69.0,21527,9906,9864,,,,21527,9906,9864,Duda,74.0,78.0,21527,9906,9864,Javier Calleja,71.0,73.0,21527,9906,9864,Nabil Baha,67.0,72.0
