id,country_id,league_id,season_x,stage,date_x,match_api_id,home_away_indicator,real_api_id,other_team_id,other_team_name,real_score,other_score,real_winprob,tie_prob,other_winprob,real_player_1_name,real_player_1_rating,real_player_1_potential,real_player_2_name,real_player_2_rating,real_player_2_potential,real_player_3_name,real_player_3_rating,real_player_3_potential,real_player_4_name,real_player_4_rating,real_player_4_potential,real_player_5_name,real_player_5_rating,real_player_5_potential,real_player_6_name,real_player_6_rating,real_player_6_potential,real_player_7_name,real_player_7_rating,real_player_7_potential,real_player_8_name,real_player_8_rating,real_player_8_potential,real_player_9_name,real_player_9_rating,real_player_9_potential,real_player_10_name,real_player_10_rating,real_player_10_potential,real_player_11_name,real_player_11_rating,real_player_11_potential,other_player_1_name,other_player_1_rating,other_player_1_potential,other_player_2_name,other_player_2_rating,other_player_2_potential,other_player_3_name,other_player_3_rating,other_player_3_potential,other_player_4_name,other_player_4_rating,other_player_4_potential,other_player_5_name,other_player_5_rating,other_player_5_potential,other_player_6_name,other_player_6_rating,other_player_6_potential,other_player_7_name,other_player_7_rating,other_player_7_potential,other_player_8_name,other_player_8_rating,other_player_8_potential,other_player_9_name,other_player_9_rating,other_player_9_potential,other_player_10_name,other_player_10_rating,other_player_10_potential,other_player_11_name,other_player_11_rating,other_player_11_potential,date_y,season_y,real_wins,real_draws,real_losses,date,season,other_wins,other_draws,other_losses,result
21520,21518,21518,2008/2009,1,2008-08-31 00:00:00,530085,0,8633,9783,RC Deportivo de La Coruña,1,2,0.4543534630222119,0.2802934891188007,0.2653530478589872,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Gabriel Heinze,80.0,83.0,Marcelo,75.0,83.0,Mahamadou Diarra,80.0,87.0,Jose Maria Guti,83.0,83.0,Gonzalo Higuain,77.0,87.0,Raul,82.0,89.0,Arjen Robben,84,86,Ruud van Nistelrooy,86.0,90.0,Daniel Aranzubia,74.0,80.0,Laure,65.0,74.0,Alberto Lopo,76.0,82.0,Filipe Luis,78.0,85.0,Ze Castro,74.0,80.0,Pablo Alvarez,69.0,78.0,Sergio,74.0,84.0,Julian de Guzman,77.0,82.0,Andres Guardado,79.0,88.0,Joan Verdu,71,85,Mista,75.0,79.0,2008-08-31 00:00:00,2008/2009,,,,2008-08-31 00:00:00,2008/2009,,,,0
21534,21518,21518,2008/2009,10,2008-11-08 00:00:00,530239,1,8633,9864,Málaga CF,4,3,0.7478257693999777,0.1691470323042873,0.0830271982957349,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Marcelo,75.0,83.0,Fernando Gago,79.0,87.0,Jose Maria Guti,83.0,83.0,Rafael van der Vaart,86.0,92.0,Wesley Sneijder,86.0,89.0,Royston Drenthe,75,84,Gonzalo Higuain,77.0,87.0,Francesco Arnau,70.0,74.0,Jesus Gamez,68.0,75.0,Weligton,68.0,72.0,Helder Rosario,69.0,69.0,Javier Calleja,71.0,73.0,Eliseu,68.0,69.0,Miguel Angel,69.0,72.0,Antonio Apono,64.0,67.0,Duda,74.0,78.0,Nabil Baha,67,72,Adrian Lopez,69.0,83.0,2008-11-08 00:00:00,2008/2009,6.0,2.0,1.0,2008-11-08 00:00:00,2008/2009,4.0,1.0,4.0,2
21545,21518,21518,2008/2009,11,2008-11-15 00:00:00,530250,0,8633,10281,Real Valladolid,0,1,0.4917494775371497,0.2766796777009418,0.2315708447619084,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Marcelo,75.0,83.0,Javi Garcia,70.0,75.0,Fernando Gago,79.0,87.0,Rafael van der Vaart,86.0,92.0,Jose Maria Guti,83.0,83.0,Gonzalo Higuain,77,87,Raul,82.0,89.0,Sergio Asenjo,76.0,84.0,Pedro Lopez,73.0,77.0,Luis Prieto,73.0,75.0,Jose Antonio Garcia Calvo,74.0,80.0,Alberto Rey,71.0,76.0,Pedro Leon,74.0,77.0,Alvaro Rubio,74.0,78.0,Angel Manuel Vivar Dorado,70.0,78.0,Jonathan Sesma,73.0,77.0,Fabian Canobbio,74,79,Manuel Victor,74.0,78.0,2008-11-15 00:00:00,2008/2009,7.0,2.0,1.0,2008-11-15 00:00:00,2008/2009,3.0,1.0,6.0,0
21555,21518,21518,2008/2009,12,2008-11-22 00:00:00,530260,1,8633,8479,RC Recreativo,1,0,0.7190435635807911,0.18405347108584,0.0969029653333687,Iker Casillas,91.0,92.0,Miguel Torres,74.0,83.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Marcelo,75.0,83.0,Wesley Sneijder,86.0,89.0,Fernando Gago,79.0,87.0,Gonzalo Higuain,77.0,87.0,Jose Maria Guti,83.0,83.0,Royston Drenthe,75,84,Raul,82.0,89.0,Asier Riesgo,71.0,75.0,Iago Bouzon,74.0,84.0,,,,Nasief Morris,75.0,77.0,Jose Manuel Casado,63.0,73.0,Sisi,75.0,79.0,Jesus Vazquez,76.0,75.0,Javi Fuego,72.0,74.0,Kanga Akale,70.0,67.0,Javier Camunas,74,75,,,,2008-11-22 00:00:00,2008/2009,7.0,2.0,2.0,2008-11-22 00:00:00,2008/2009,1.0,4.0,6.0,2
21566,21518,21518,2008/2009,13,2008-11-29 00:00:00,530331,0,8633,8305,Getafe CF,1,3,0.4335335525319975,0.2844984214216015,0.281968026046401,Iker Casillas,91.0,92.0,Miguel Torres,74.0,83.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Marcelo,75.0,83.0,Wesley Sneijder,86.0,89.0,Fernando Gago,79.0,87.0,Jose Maria Guti,83.0,83.0,Raul,82.0,89.0,Javier Saviola,78,83,Royston Drenthe,75.0,84.0,Roberto Abbondanzieri,82.0,86.0,Cosmin Contra,74.0,79.0,Cata Diaz,80.0,85.0,Mario Alvarez,75.0,78.0,Lucas Matias Licht,76.0,80.0,Esteban Granero,76.0,83.0,Eugen Polanski,74.0,83.0,Francisco Javier Casquero,75.0,83.0,Jaime Gavilan,77.0,87.0,Roberto Soldado,77,80,Juan Albin,75.0,81.0,2008-11-29 00:00:00,2008/2009,8.0,2.0,2.0,2008-11-29 00:00:00,2008/2009,3.0,5.0,4.0,0
21576,21518,21518,2008/2009,14,2008-12-07 00:00:00,530341,1,8633,8302,Sevilla FC,3,4,0.4514611596754995,0.2773102442485687,0.2712285960759317,Iker Casillas,91.0,92.0,Michel Salgado,71.0,81.0,Sergio Ramos,85.0,92.0,Fabio Cannavaro,85.0,91.0,Marcelo,75.0,83.0,Rafael van der Vaart,86.0,92.0,Fernando Gago,79.0,87.0,Jose Maria Guti,83.0,83.0,Gonzalo Higuain,77.0,87.0,Raul,82,89,Arjen Robben,84.0,86.0,Andres Palop,82.0,90.0,Abdoulay Konko,76.0,78.0,Sebastien Squillaci,81.0,84.0,Julien Escude,78.0,81.0,Fernando Navarro,77.0,80.0,Aldo Pedro Duscher,76.0,82.0,Romaric,80.0,85.0,Jesus Navas,83.0,92.0,Renato,76.0,78.0,Adriano,78,86,Frederic Kanoute,83.0,84.0,2008-12-07 00:00:00,2008/2009,8.0,2.0,3.0,2008-12-07 00:00:00,2008/2009,7.0,3.0,3.0,0
21578,21518,21518,2008/2009,15,2008-12-13 00:00:00,530343,0,8633,8634,FC Barcelona,0,2,0.1609861507429565,0.2479209662916562,0.5910928829653872,Iker Casillas,91.0,92.0,Michel Salgado,71.0,81.0,Christoph Metzelder,80.0,88.0,Fabio Cannavaro,85.0,91.0,Sergio Ramos,85.0,92.0,Wesley Sneijder,86.0,89.0,Jose Maria Guti,83.0,83.0,Fernando Gago,79.0,87.0,Royston Drenthe,75.0,84.0,Gonzalo Higuain,77,87,Raul,82.0,89.0,Victor Valdes,83.0,85.0,Daniel Alves,85.0,91.0,Rafael Marquez,83.0,87.0,Carles Puyol,88.0,90.0,Eric Abidal,84.0,89.0,Xavi Hernandez,87.0,88.0,Yaya Toure,81.0,86.0,Eidur Gudjohnsen,77.0,82.0,Lionel Messi,90.0,95.0,Samuel Eto'o,86,90,Thierry Henry,85.0,91.0,2008-12-13 00:00:00,2008/2009,8.0,2.0,4.0,2008-12-13 00:00:00,2008/2009,11.0,2.0,1.0,0
21594,21518,21518,2008/2009,16,2008-12-20 00:00:00,530359,1,8633,10267,Valencia CF,1,0,0.4849255904565087,0.2727859903311161,0.2422884192123752,Iker Casillas,91.0,92.0,Michel Salgado,71.0,81.0,Christoph Metzelder,80.0,88.0,Fabio Cannavaro,85.0,91.0,Marcelo,75.0,83.0,Arjen Robben,84.0,86.0,Jose Maria Guti,83.0,83.0,Fernando Gago,79.0,87.0,Royston Drenthe,75.0,84.0,Rafael van der Vaart,86,92,Gonzalo Higuain,77.0,87.0,Renan,76.0,78.0,Miguel,79.0,83.0,Raul Albiol,81.0,88.0,Carlos Marchena,82.0,85.0,Asier del Horno,76.0,82.0,Manuel Fernandes,78.0,87.0,David Albelda,79.0,83.0,Joaquin,81.0,87.0,Ruben Baraja,79.0,83.0,Juan Mata,75,86,David Villa,86.0,93.0,2008-12-20 00:00:00,2008/2009,8.0,2.0,5.0,2008-12-20 00:00:00,2008/2009,9.0,3.0,3.0,2
21604,21518,21518,2008/2009,17,2009-01-04 00:00:00,530369,1,8633,10205,Villarreal CF,1,0,0.5233943235265079,0.265258470793147,0.211347205680345,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Wesley Sneijder,86.0,89.0,Fernando Gago,79.0,87.0,Lassana Diarra,81.0,82.0,Arjen Robben,84.0,86.0,Klaas Jan Huntelaar,84,90,Raul,82.0,89.0,Diego Lopez,78.0,82.0,Angel Lopez,74.0,78.0,Gonzalo Rodriguez,77.0,84.0,Diego Godin,73.0,79.0,Joan Capdevila,80.0,83.0,Santi Cazorla,80.0,86.0,Marcos Senna,84.0,86.0,Sebastian Eguren,75.0,79.0,Robert Pires,81.0,82.0,Giuseppe Rossi,80,86,Nihat Kahveci,80.0,83.0,2009-01-04 00:00:00,2008/2009,9.0,2.0,5.0,2009-01-04 00:00:00,2008/2009,8.0,5.0,3.0,2
21615,21518,21518,2008/2009,18,2009-01-11 00:00:00,530380,0,8633,8661,RCD Mallorca,3,0,0.5303531973336088,0.2667189779679443,0.2029278246984469,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Fabio Cannavaro,85.0,91.0,Pepe,84.0,86.0,Gabriel Heinze,80.0,83.0,Arjen Robben,84.0,86.0,Fernando Gago,79.0,87.0,Lassana Diarra,81.0,82.0,Wesley Sneijder,86.0,89.0,Raul,82,89,Gonzalo Higuain,77.0,87.0,Dudu Aouate,73.0,78.0,Lionel Scaloni,75.0,80.0,Ivan Ramis,74.0,76.0,David Navarro,77.0,79.0,Jose Carlos Nunes,75.0,76.0,Enrique Corrales,75.0,75.0,Mario Suarez,72.0,78.0,Marti Soler,75.0,79.0,Cleber Santana,73.0,81.0,Pierre Webo,76,77,Juan Arango,78.0,78.0,2009-01-11 00:00:00,2008/2009,10.0,2.0,5.0,2009-01-11 00:00:00,2008/2009,3.0,5.0,9.0,2
