match_api_id,date,season,team_id,wins,draws,losses
483130,2008-08-09 00:00:00,2008/2009,7819,,,
483135,2008-08-09 00:00:00,2008/2009,8481,,,
483129,2008-08-09 00:00:00,2008/2009,8583,,,
483136,2008-08-09 00:00:00,2008/2009,8592,,,
483135,2008-08-09 00:00:00,2008/2009,8639,,,
483132,2008-08-09 00:00:00,2008/2009,8682,,,
483132,2008-08-09 00:00:00,2008/2009,8689,,,
483131,2008-08-09 00:00:00,2008/2009,9746,,,
483130,2008-08-09 00:00:00,2008/2009,9827,,,
483134,2008-08-09 00:00:00,2008/2009,9829,,,
483129,2008-08-09 00:00:00,2008/2009,9830,,,
483131,2008-08-09 00:00:00,2008/2009,9831,,,
483134,2008-08-09 00:00:00,2008/2009,9847,,,
483136,2008-08-09 00:00:00,2008/2009,9851,,,
483138,2008-08-09 00:00:00,2008/2009,9853,,,
483137,2008-08-09 00:00:00,2008/2009,9855,,,
483138,2008-08-09 00:00:00,2008/2009,9873,,,
483137,2008-08-09 00:00:00,2008/2009,9874,,,
483133,2008-08-10 00:00:00,2008/2009,9748,,,
483133,2008-08-10 00:00:00,2008/2009,9941,,,
499317,2008-08-15 00:00:00,2008/2009,9790,,,
499317,2008-08-15 00:00:00,2008/2009,9823,,,
483139,2008-08-16 00:00:00,2008/2009,7819,0,0,1
499318,2008-08-16 00:00:00,2008/2009,8178,,,
499323,2008-08-16 00:00:00,2008/2009,8226,,,
499325,2008-08-16 00:00:00,2008/2009,8295,,,
499323,2008-08-16 00:00:00,2008/2009,8398,,,
489044,2008-08-16 00:00:00,2008/2009,8472,,,
483145,2008-08-16 00:00:00,2008/2009,8481,0,1,0
489045,2008-08-16 00:00:00,2008/2009,8528,,,
489048,2008-08-16 00:00:00,2008/2009,8549,,,
489049,2008-08-16 00:00:00,2008/2009,8559,,,
489048,2008-08-16 00:00:00,2008/2009,8586,,,
483141,2008-08-16 00:00:00,2008/2009,8639,0,1,0
489044,2008-08-16 00:00:00,2008/2009,8650,,,
489045,2008-08-16 00:00:00,2008/2009,8654,,,
489047,2008-08-16 00:00:00,2008/2009,8655,,,
489043,2008-08-16 00:00:00,2008/2009,8659,,,
489050,2008-08-16 00:00:00,2008/2009,8667,,,
489047,2008-08-16 00:00:00,2008/2009,8668,,,
483141,2008-08-16 00:00:00,2008/2009,8682,0,0,1
499322,2008-08-16 00:00:00,2008/2009,8697,,,
499320,2008-08-16 00:00:00,2008/2009,8721,,,
499320,2008-08-16 00:00:00,2008/2009,8722,,,
483148,2008-08-16 00:00:00,2008/2009,9746,1,0,0
499318,2008-08-16 00:00:00,2008/2009,9789,,,
489043,2008-08-16 00:00:00,2008/2009,9825,,,
483146,2008-08-16 00:00:00,2008/2009,9827,1,0,0
483144,2008-08-16 00:00:00,2008/2009,9829,1,0,0
483144,2008-08-16 00:00:00,2008/2009,9830,0,0,1
483145,2008-08-16 00:00:00,2008/2009,9831,0,0,1
483146,2008-08-16 00:00:00,2008/2009,9847,0,0,1
483147,2008-08-16 00:00:00,2008/2009,9853,0,0,1
483139,2008-08-16 00:00:00,2008/2009,9873,1,0,0
483147,2008-08-16 00:00:00,2008/2009,9874,0,0,1
489050,2008-08-16 00:00:00,2008/2009,9879,,,
499319,2008-08-16 00:00:00,2008/2009,9904,,,
499325,2008-08-16 00:00:00,2008/2009,9911,,,
499322,2008-08-16 00:00:00,2008/2009,9912,,,
483148,2008-08-16 00:00:00,2008/2009,9941,0,0,1
499319,2008-08-16 00:00:00,2008/2009,10189,,,
489049,2008-08-16 00:00:00,2008/2009,10194,,,
499321,2008-08-17 00:00:00,2008/2009,8177,,,
489051,2008-08-17 00:00:00,2008/2009,8455,,,
489046,2008-08-17 00:00:00,2008/2009,8456,,,
489051,2008-08-17 00:00:00,2008/2009,8462,,,
483143,2008-08-17 00:00:00,2008/2009,8583,1,0,0
483143,2008-08-17 00:00:00,2008/2009,8592,0,1,0
483142,2008-08-17 00:00:00,2008/2009,8689,1,0,0
483142,2008-08-17 00:00:00,2008/2009,9748,1,0,0
499324,2008-08-17 00:00:00,2008/2009,9788,,,
499321,2008-08-17 00:00:00,2008/2009,9810,,,
483140,2008-08-17 00:00:00,2008/2009,9851,0,1,0
483140,2008-08-17 00:00:00,2008/2009,9855,1,0,0
489046,2008-08-17 00:00:00,2008/2009,10252,,,
489042,2008-08-17 00:00:00,2008/2009,10260,,,
489042,2008-08-17 00:00:00,2008/2009,10261,,,
499324,2008-08-17 00:00:00,2008/2009,10269,,,
499333,2008-08-22 00:00:00,2008/2009,8398,0,0,1
499333,2008-08-22 00:00:00,2008/2009,9904,0,0,1
483154,2008-08-23 00:00:00,2008/2009,7819,1,0,1
499330,2008-08-23 00:00:00,2008/2009,8177,1,0,0
499328,2008-08-23 00:00:00,2008/2009,8178,0,0,1
499334,2008-08-23 00:00:00,2008/2009,8226,1,0,0
499326,2008-08-23 00:00:00,2008/2009,8295,1,0,0
489053,2008-08-23 00:00:00,2008/2009,8472,0,0,1
483155,2008-08-23 00:00:00,2008/2009,8481,0,1,1
489052,2008-08-23 00:00:00,2008/2009,8549,1,0,0
489054,2008-08-23 00:00:00,2008/2009,8559,1,0,0
489053,2008-08-23 00:00:00,2008/2009,8586,0,0,1
483151,2008-08-23 00:00:00,2008/2009,8592,1,1,0
489052,2008-08-23 00:00:00,2008/2009,8650,1,0,0
489056,2008-08-23 00:00:00,2008/2009,8655,1,0,0
489058,2008-08-23 00:00:00,2008/2009,8659,0,0,1
489056,2008-08-23 00:00:00,2008/2009,8667,1,0,0
489058,2008-08-23 00:00:00,2008/2009,8668,0,0,1
483152,2008-08-23 00:00:00,2008/2009,8682,1,0,1
483158,2008-08-23 00:00:00,2008/2009,8689,1,1,0
499329,2008-08-23 00:00:00,2008/2009,8697,0,1,0
483151,2008-08-23 00:00:00,2008/2009,9746,1,0,1
483153,2008-08-23 00:00:00,2008/2009,9748,1,1,0
499334,2008-08-23 00:00:00,2008/2009,9788,0,0,1
499327,2008-08-23 00:00:00,2008/2009,9789,1,0,0
499326,2008-08-23 00:00:00,2008/2009,9790,0,1,0
499327,2008-08-23 00:00:00,2008/2009,9823,0,1,0
489057,2008-08-23 00:00:00,2008/2009,9825,1,0,0
483154,2008-08-23 00:00:00,2008/2009,9829,1,1,0
483157,2008-08-23 00:00:00,2008/2009,9847,1,0,1
483152,2008-08-23 00:00:00,2008/2009,9853,1,0,1
483153,2008-08-23 00:00:00,2008/2009,9855,2,0,0
483158,2008-08-23 00:00:00,2008/2009,9873,1,0,1
483157,2008-08-23 00:00:00,2008/2009,9874,0,0,2
489057,2008-08-23 00:00:00,2008/2009,9879,0,0,1
499330,2008-08-23 00:00:00,2008/2009,9912,0,1,0
483155,2008-08-23 00:00:00,2008/2009,9941,1,0,1
499329,2008-08-23 00:00:00,2008/2009,10189,1,0,0
489060,2008-08-23 00:00:00,2008/2009,10194,0,0,1
489060,2008-08-23 00:00:00,2008/2009,10252,1,0,0
489054,2008-08-23 00:00:00,2008/2009,10261,0,1,0
499328,2008-08-23 00:00:00,2008/2009,10269,1,0,0
489061,2008-08-24 00:00:00,2008/2009,8455,1,0,0
489055,2008-08-24 00:00:00,2008/2009,8456,0,0,1
489061,2008-08-24 00:00:00,2008/2009,8528,0,0,1
483149,2008-08-24 00:00:00,2008/2009,8583,1,0,1
483156,2008-08-24 00:00:00,2008/2009,8639,0,1,1
489055,2008-08-24 00:00:00,2008/2009,8654,1,0,0
499332,2008-08-24 00:00:00,2008/2009,8721,1,0,0
499331,2008-08-24 00:00:00,2008/2009,8722,0,0,1
499331,2008-08-24 00:00:00,2008/2009,9810,0,0,1
483150,2008-08-24 00:00:00,2008/2009,9827,1,0,1
483150,2008-08-24 00:00:00,2008/2009,9830,0,1,1
483149,2008-08-24 00:00:00,2008/2009,9831,1,0,1
483156,2008-08-24 00:00:00,2008/2009,9851,0,1,1
499332,2008-08-24 00:00:00,2008/2009,9911,0,0,1
489059,2008-08-25 00:00:00,2008/2009,8462,0,0,1
489059,2008-08-25 00:00:00,2008/2009,10260,0,1,0
499343,2008-08-29 00:00:00,2008/2009,8295,1,0,1
499343,2008-08-29 00:00:00,2008/2009,8722,0,1,1
483159,2008-08-30 00:00:00,2008/2009,7819,1,1,1
499336,2008-08-30 00:00:00,2008/2009,8178,1,0,1
499336,2008-08-30 00:00:00,2008/2009,8226,2,0,0
499341,2008-08-30 00:00:00,2008/2009,8398,0,1,1
489067,2008-08-30 00:00:00,2008/2009,8462,0,0,2
483164,2008-08-30 00:00:00,2008/2009,8481,0,2,1
489070,2008-08-30 00:00:00,2008/2009,8528,0,0,2
537641,2008-08-30 00:00:00,2008/2009,8540,,,
489068,2008-08-30 00:00:00,2008/2009,8549,1,0,1
530090,2008-08-30 00:00:00,2008/2009,8558,,,
489069,2008-08-30 00:00:00,2008/2009,8559,1,0,1
483162,2008-08-30 00:00:00,2008/2009,8583,1,0,2
483163,2008-08-30 00:00:00,2008/2009,8592,2,1,0
537641,2008-08-30 00:00:00,2008/2009,8600,,,
537639,2008-08-30 00:00:00,2008/2009,8636,,,
489065,2008-08-30 00:00:00,2008/2009,8654,1,0,1
489065,2008-08-30 00:00:00,2008/2009,8655,1,1,0
489069,2008-08-30 00:00:00,2008/2009,8659,0,0,2
530023,2008-08-30 00:00:00,2008/2009,8661,,,
489070,2008-08-30 00:00:00,2008/2009,8667,1,1,0
489067,2008-08-30 00:00:00,2008/2009,8668,1,0,1
483165,2008-08-30 00:00:00,2008/2009,8682,2,0,1
483162,2008-08-30 00:00:00,2008/2009,8689,1,1,1
499342,2008-08-30 00:00:00,2008/2009,8697,0,2,0
499339,2008-08-30 00:00:00,2008/2009,8721,1,1,0
483164,2008-08-30 00:00:00,2008/2009,9746,1,0,2
499342,2008-08-30 00:00:00,2008/2009,9788,0,0,2
499341,2008-08-30 00:00:00,2008/2009,9789,1,1,0
499340,2008-08-30 00:00:00,2008/2009,9790,1,1,0
499339,2008-08-30 00:00:00,2008/2009,9810,0,1,1
489063,2008-08-30 00:00:00,2008/2009,9825,1,0,1
483160,2008-08-30 00:00:00,2008/2009,9829,1,2,0
483165,2008-08-30 00:00:00,2008/2009,9830,0,1,2
483166,2008-08-30 00:00:00,2008/2009,9831,2,0,1
483159,2008-08-30 00:00:00,2008/2009,9847,1,1,1
483160,2008-08-30 00:00:00,2008/2009,9855,2,0,1
483166,2008-08-30 00:00:00,2008/2009,9873,2,0,1
483163,2008-08-30 00:00:00,2008/2009,9874,0,1,2
537639,2008-08-30 00:00:00,2008/2009,9882,,,
499338,2008-08-30 00:00:00,2008/2009,9911,0,1,1
499340,2008-08-30 00:00:00,2008/2009,9912,0,2,0
499338,2008-08-30 00:00:00,2008/2009,10189,1,1,0
489068,2008-08-30 00:00:00,2008/2009,10194,1,0,1
489063,2008-08-30 00:00:00,2008/2009,10261,1,1,0
530023,2008-08-30 00:00:00,2008/2009,10267,,,
530090,2008-08-30 00:00:00,2008/2009,10281,,,
499335,2008-08-31 00:00:00,2008/2009,8177,1,1,0
530087,2008-08-31 00:00:00,2008/2009,8302,,,
530088,2008-08-31 00:00:00,2008/2009,8305,,,
530091,2008-08-31 00:00:00,2008/2009,8315,,,
530084,2008-08-31 00:00:00,2008/2009,8371,,,
530086,2008-08-31 00:00:00,2008/2009,8388,,,
489071,2008-08-31 00:00:00,2008/2009,8455,2,0,0
489064,2008-08-31 00:00:00,2008/2009,8456,1,0,1
489064,2008-08-31 00:00:00,2008/2009,8472,1,0,1
530089,2008-08-31 00:00:00,2008/2009,8479,,,
537632,2008-08-31 00:00:00,2008/2009,8524,,,
537633,2008-08-31 00:00:00,2008/2009,8529,,,
537634,2008-08-31 00:00:00,2008/2009,8530,,,
537635,2008-08-31 00:00:00,2008/2009,8533,,,
537636,2008-08-31 00:00:00,2008/2009,8535,,,
537633,2008-08-31 00:00:00,2008/2009,8543,,,
537632,2008-08-31 00:00:00,2008/2009,8551,,,
537637,2008-08-31 00:00:00,2008/2009,8564,,,
489071,2008-08-31 00:00:00,2008/2009,8586,0,0,2
530089,2008-08-31 00:00:00,2008/2009,8603,,,
530085,2008-08-31 00:00:00,2008/2009,8633,,,
530086,2008-08-31 00:00:00,2008/2009,8634,,,
