match_api_id,date,season,team_id,wins,draws,losses
483135,2008-08-09 00:00:00,2008/2009,8481,,,
483129,2008-08-09 00:00:00,2008/2009,8583,,,
483132,2008-08-09 00:00:00,2008/2009,8682,,,
483131,2008-08-09 00:00:00,2008/2009,9746,,,
483130,2008-08-09 00:00:00,2008/2009,9827,,,
483134,2008-08-09 00:00:00,2008/2009,9829,,,
483136,2008-08-09 00:00:00,2008/2009,9851,,,
483138,2008-08-09 00:00:00,2008/2009,9873,,,
483137,2008-08-09 00:00:00,2008/2009,9874,,,
483133,2008-08-10 00:00:00,2008/2009,9748,,,
499317,2008-08-15 00:00:00,2008/2009,9823,,,
483139,2008-08-16 00:00:00,2008/2009,7819,,,
499318,2008-08-16 00:00:00,2008/2009,8178,,,
499325,2008-08-16 00:00:00,2008/2009,8295,,,
499323,2008-08-16 00:00:00,2008/2009,8398,,,
489044,2008-08-16 00:00:00,2008/2009,8472,,,
489048,2008-08-16 00:00:00,2008/2009,8549,,,
489049,2008-08-16 00:00:00,2008/2009,8559,,,
483141,2008-08-16 00:00:00,2008/2009,8639,,,
489045,2008-08-16 00:00:00,2008/2009,8654,,,
489050,2008-08-16 00:00:00,2008/2009,8667,,,
489047,2008-08-16 00:00:00,2008/2009,8668,,,
499320,2008-08-16 00:00:00,2008/2009,8721,,,
489043,2008-08-16 00:00:00,2008/2009,9825,,,
483144,2008-08-16 00:00:00,2008/2009,9830,,,
483145,2008-08-16 00:00:00,2008/2009,9831,,,
483146,2008-08-16 00:00:00,2008/2009,9847,,,
483147,2008-08-16 00:00:00,2008/2009,9853,,,
499322,2008-08-16 00:00:00,2008/2009,9912,,,
483148,2008-08-16 00:00:00,2008/2009,9941,,,
499319,2008-08-16 00:00:00,2008/2009,10189,,,
489051,2008-08-17 00:00:00,2008/2009,8455,,,
483143,2008-08-17 00:00:00,2008/2009,8592,,,
483142,2008-08-17 00:00:00,2008/2009,8689,,,
499324,2008-08-17 00:00:00,2008/2009,9788,,,
499321,2008-08-17 00:00:00,2008/2009,9810,,,
483140,2008-08-17 00:00:00,2008/2009,9855,,,
489046,2008-08-17 00:00:00,2008/2009,10252,,,
489042,2008-08-17 00:00:00,2008/2009,10260,,,
499333,2008-08-22 00:00:00,2008/2009,9904,,,
499330,2008-08-23 00:00:00,2008/2009,8177,,,
499334,2008-08-23 00:00:00,2008/2009,8226,,,
483155,2008-08-23 00:00:00,2008/2009,8481,0,1,0
489053,2008-08-23 00:00:00,2008/2009,8586,,,
489052,2008-08-23 00:00:00,2008/2009,8650,,,
489056,2008-08-23 00:00:00,2008/2009,8655,,,
489058,2008-08-23 00:00:00,2008/2009,8659,,,
483152,2008-08-23 00:00:00,2008/2009,8682,0,0,1
499329,2008-08-23 00:00:00,2008/2009,8697,,,
483151,2008-08-23 00:00:00,2008/2009,9746,1,0,0
483153,2008-08-23 00:00:00,2008/2009,9748,1,0,0
499327,2008-08-23 00:00:00,2008/2009,9789,,,
499326,2008-08-23 00:00:00,2008/2009,9790,,,
483154,2008-08-23 00:00:00,2008/2009,9829,1,0,0
483158,2008-08-23 00:00:00,2008/2009,9873,1,0,0
483157,2008-08-23 00:00:00,2008/2009,9874,0,0,1
489057,2008-08-23 00:00:00,2008/2009,9879,,,
489060,2008-08-23 00:00:00,2008/2009,10194,,,
489054,2008-08-23 00:00:00,2008/2009,10261,,,
499328,2008-08-23 00:00:00,2008/2009,10269,,,
489055,2008-08-24 00:00:00,2008/2009,8456,,,
489061,2008-08-24 00:00:00,2008/2009,8528,,,
483149,2008-08-24 00:00:00,2008/2009,8583,1,0,0
499331,2008-08-24 00:00:00,2008/2009,8722,,,
483150,2008-08-24 00:00:00,2008/2009,9827,1,0,0
483156,2008-08-24 00:00:00,2008/2009,9851,0,1,0
499332,2008-08-24 00:00:00,2008/2009,9911,,,
489059,2008-08-25 00:00:00,2008/2009,8462,,,
499343,2008-08-29 00:00:00,2008/2009,8295,1,0,0
483159,2008-08-30 00:00:00,2008/2009,7819,1,0,0
499336,2008-08-30 00:00:00,2008/2009,8178,0,0,1
499341,2008-08-30 00:00:00,2008/2009,8398,0,0,1
483164,2008-08-30 00:00:00,2008/2009,8481,0,2,0
489068,2008-08-30 00:00:00,2008/2009,8549,1,0,0
530090,2008-08-30 00:00:00,2008/2009,8558,,,
489069,2008-08-30 00:00:00,2008/2009,8559,1,0,0
483163,2008-08-30 00:00:00,2008/2009,8592,1,0,0
537641,2008-08-30 00:00:00,2008/2009,8600,,,
489065,2008-08-30 00:00:00,2008/2009,8654,1,0,0
530023,2008-08-30 00:00:00,2008/2009,8661,,,
489070,2008-08-30 00:00:00,2008/2009,8667,1,0,0
489067,2008-08-30 00:00:00,2008/2009,8668,0,0,1
483162,2008-08-30 00:00:00,2008/2009,8689,0,1,0
499339,2008-08-30 00:00:00,2008/2009,8721,1,0,0
499342,2008-08-30 00:00:00,2008/2009,9788,0,0,1
489063,2008-08-30 00:00:00,2008/2009,9825,1,0,0
483165,2008-08-30 00:00:00,2008/2009,9830,0,1,0
483166,2008-08-30 00:00:00,2008/2009,9831,1,0,0
483160,2008-08-30 00:00:00,2008/2009,9855,1,0,0
537639,2008-08-30 00:00:00,2008/2009,9882,,,
499340,2008-08-30 00:00:00,2008/2009,9912,0,1,0
499338,2008-08-30 00:00:00,2008/2009,10189,1,0,0
530023,2008-08-30 00:00:00,2008/2009,10267,,,
530090,2008-08-30 00:00:00,2008/2009,10281,,,
530087,2008-08-31 00:00:00,2008/2009,8302,,,
530088,2008-08-31 00:00:00,2008/2009,8305,,,
530091,2008-08-31 00:00:00,2008/2009,8315,,,
530084,2008-08-31 00:00:00,2008/2009,8371,,,
530086,2008-08-31 00:00:00,2008/2009,8388,,,
489071,2008-08-31 00:00:00,2008/2009,8455,1,0,0
489064,2008-08-31 00:00:00,2008/2009,8472,0,0,1
530089,2008-08-31 00:00:00,2008/2009,8479,,,
537632,2008-08-31 00:00:00,2008/2009,8524,,,
537633,2008-08-31 00:00:00,2008/2009,8529,,,
537634,2008-08-31 00:00:00,2008/2009,8530,,,
537635,2008-08-31 00:00:00,2008/2009,8533,,,
537636,2008-08-31 00:00:00,2008/2009,8535,,,
537637,2008-08-31 00:00:00,2008/2009,8564,,,
530089,2008-08-31 00:00:00,2008/2009,8603,,,
530085,2008-08-31 00:00:00,2008/2009,8633,,,
530086,2008-08-31 00:00:00,2008/2009,8634,,,
483161,2008-08-31 00:00:00,2008/2009,8639,0,0,1
537638,2008-08-31 00:00:00,2008/2009,8686,,,
530087,2008-08-31 00:00:00,2008/2009,8696,,,
530085,2008-08-31 00:00:00,2008/2009,9783,,,
537640,2008-08-31 00:00:00,2008/2009,9804,,,
499335,2008-08-31 00:00:00,2008/2009,9823,0,1,0
483167,2008-08-31 00:00:00,2008/2009,9853,1,0,0
530092,2008-08-31 00:00:00,2008/2009,9864,,,
530091,2008-08-31 00:00:00,2008/2009,9865,,,
530088,2008-08-31 00:00:00,2008/2009,9869,,,
530092,2008-08-31 00:00:00,2008/2009,9906,,,
483168,2008-08-31 00:00:00,2008/2009,9941,1,0,0
530084,2008-08-31 00:00:00,2008/2009,10205,,,
489066,2008-08-31 00:00:00,2008/2009,10252,1,0,0
499337,2008-08-31 00:00:00,2008/2009,10269,0,0,1
499347,2008-09-13 00:00:00,2008/2009,8177,0,1,0
499352,2008-09-13 00:00:00,2008/2009,8226,1,0,0
530096,2008-09-13 00:00:00,2008/2009,8302,0,1,0
489075,2008-09-13 00:00:00,2008/2009,8456,1,0,0
489079,2008-09-13 00:00:00,2008/2009,8462,0,0,1
489081,2008-09-13 00:00:00,2008/2009,8528,0,0,1
539566,2008-09-13 00:00:00,2008/2009,8540,,,
483169,2008-09-13 00:00:00,2008/2009,8583,1,0,1
530095,2008-09-13 00:00:00,2008/2009,8634,0,0,1
539571,2008-09-13 00:00:00,2008/2009,8636,,,
489072,2008-09-13 00:00:00,2008/2009,8650,1,0,0
489076,2008-09-13 00:00:00,2008/2009,8655,0,1,0
489078,2008-09-13 00:00:00,2008/2009,8659,0,0,1
483172,2008-09-13 00:00:00,2008/2009,8682,1,0,1
530095,2008-09-13 00:00:00,2008/2009,8696,0,1,0
499346,2008-09-13 00:00:00,2008/2009,8697,0,1,0
499349,2008-09-13 00:00:00,2008/2009,8722,0,1,0
483173,2008-09-13 00:00:00,2008/2009,9748,2,0,0
499345,2008-09-13 00:00:00,2008/2009,9789,0,1,0
499344,2008-09-13 00:00:00,2008/2009,9790,1,0,0
483170,2008-09-13 00:00:00,2008/2009,9827,2,0,0
483174,2008-09-13 00:00:00,2008/2009,9829,1,1,0
483176,2008-09-13 00:00:00,2008/2009,9851,1,1,0
530096,2008-09-13 00:00:00,2008/2009,9869,0,0,1
483178,2008-09-13 00:00:00,2008/2009,9873,2,0,0
489077,2008-09-13 00:00:00,2008/2009,9879,1,0,0
530099,2008-09-13 00:00:00,2008/2009,9906,1,0,0
489074,2008-09-13 00:00:00,2008/2009,10261,1,0,0
530099,2008-09-13 00:00:00,2008/2009,10281,0,0,1
483171,2008-09-14 00:00:00,2008/2009,7819,1,0,1
530097,2008-09-14 00:00:00,2008/2009,8305,1,0,0
530100,2008-09-14 00:00:00,2008/2009,8315,0,0,1
530102,2008-09-14 00:00:00,2008/2009,8371,0,1,0
530094,2008-09-14 00:00:00,2008/2009,8388,1,0,0
530098,2008-09-14 00:00:00,2008/2009,8479,1,0,0
539569,2008-09-14 00:00:00,2008/2009,8543,,,
539564,2008-09-14 00:00:00,2008/2009,8551,,,
530098,2008-09-14 00:00:00,2008/2009,8558,1,0,0
530097,2008-09-14 00:00:00,2008/2009,8603,0,0,1
530094,2008-09-14 00:00:00,2008/2009,8633,0,0,1
530102,2008-09-14 00:00:00,2008/2009,8661,0,0,1
539565,2008-09-14 00:00:00,2008/2009,8690,,,
530093,2008-09-14 00:00:00,2008/2009,9783,1,0,0
483175,2008-09-14 00:00:00,2008/2009,9847,1,0,0
539561,2008-09-14 00:00:00,2008/2009,9857,,,
530100,2008-09-14 00:00:00,2008/2009,9864,0,0,1
530101,2008-09-14 00:00:00,2008/2009,9865,1,0,0
483177,2008-09-14 00:00:00,2008/2009,9874,0,1,1
539567,2008-09-14 00:00:00,2008/2009,9875,,,
539570,2008-09-14 00:00:00,2008/2009,9885,,,
539568,2008-09-14 00:00:00,2008/2009,9888,,,
499351,2008-09-14 00:00:00,2008/2009,9904,0,1,0
499350,2008-09-14 00:00:00,2008/2009,9911,0,1,0
489080,2008-09-14 00:00:00,2008/2009,10194,1,0,0
530093,2008-09-14 00:00:00,2008/2009,10205,0,1,0
539572,2008-09-14 00:00:00,2008/2009,10233,,,
530101,2008-09-14 00:00:00,2008/2009,10267,1,0,0
489073,2008-09-15 00:00:00,2008/2009,8586,0,0,1
499354,2008-09-19 00:00:00,2008/2009,8178,1,0,1
530108,2008-09-20 00:00:00,2008/2009,8305,1,1,0
499359,2008-09-20 00:00:00,2008/2009,8398,0,0,2
489083,2008-09-20 00:00:00,2008/2009,8472,0,0,2
530112,2008-09-20 00:00:00,2008/2009,8479,1,0,1
539581,2008-09-20 00:00:00,2008/2009,8530,1,0,0
530108,2008-09-20 00:00:00,2008/2009,8558,2,0,0
489088,2008-09-20 00:00:00,2008/2009,8559,1,1,0
483182,2008-09-20 00:00:00,2008/2009,8639,1,0,1
489082,2008-09-20 00:00:00,2008/2009,8650,2,0,0
489085,2008-09-20 00:00:00,2008/2009,8654,2,0,0
489087,2008-09-20 00:00:00,2008/2009,8655,0,1,1
539576,2008-09-20 00:00:00,2008/2009,8686,0,1,0
483181,2008-09-20 00:00:00,2008/2009,8689,0,1,1
483180,2008-09-20 00:00:00,2008/2009,9746,1,0,1
499360,2008-09-20 00:00:00,2008/2009,9788,1,0,1
499353,2008-09-20 00:00:00,2008/2009,9823,1,1,0
483185,2008-09-20 00:00:00,2008/2009,9830,0,1,1
483186,2008-09-20 00:00:00,2008/2009,9831,2,0,0
483179,2008-09-20 00:00:00,2008/2009,9855,2,0,0
530112,2008-09-20 00:00:00,2008/2009,9906,1,0,1
499358,2008-09-20 00:00:00,2008/2009,9912,0,1,1
483188,2008-09-20 00:00:00,2008/2009,9941,1,1,0
499356,2008-09-20 00:00:00,2008/2009,10189,2,0,0
499361,2008-09-21 00:00:00,2008/2009,8226,1,1,0
530107,2008-09-21 00:00:00,2008/2009,8302,1,1,0
530111,2008-09-21 00:00:00,2008/2009,8315,0,1,1
530106,2008-09-21 00:00:00,2008/2009,8371,0,2,0
530104,2008-09-21 00:00:00,2008/2009,8388,1,0,1
489091,2008-09-21 00:00:00,2008/2009,8455,1,1,0
489086,2008-09-21 00:00:00,2008/2009,8456,1,0,1
483184,2008-09-21 00:00:00,2008/2009,8481,1,2,0
539582,2008-09-21 00:00:00,2008/2009,8529,0,0,1
539580,2008-09-21 00:00:00,2008/2009,8535,0,1,0
539577,2008-09-21 00:00:00,2008/2009,8540,1,0,0
539578,2008-09-21 00:00:00,2008/2009,8564,0,0,1
489084,2008-09-21 00:00:00,2008/2009,8586,0,0,2
483183,2008-09-21 00:00:00,2008/2009,8592,2,0,0
539573,2008-09-21 00:00:00,2008/2009,8600,1,0,0
530107,2008-09-21 00:00:00,2008/2009,8603,0,1,1
530109,2008-09-21 00:00:00,2008/2009,8633,1,0,1
530103,2008-09-21 00:00:00,2008/2009,8634,0,1,1
489089,2008-09-21 00:00:00,2008/2009,8659,1,0,1
530105,2008-09-21 00:00:00,2008/2009,8661,0,1,1
489090,2008-09-21 00:00:00,2008/2009,8667,1,0,1
530109,2008-09-21 00:00:00,2008/2009,8696,0,2,0
499357,2008-09-21 00:00:00,2008/2009,8721,1,1,0
530105,2008-09-21 00:00:00,2008/2009,9783,1,0,1
539574,2008-09-21 00:00:00,2008/2009,9804,1,0,0
483187,2008-09-21 00:00:00,2008/2009,9853,1,0,1
530110,2008-09-21 00:00:00,2008/2009,9864,0,1,1
530110,2008-09-21 00:00:00,2008/2009,9865,1,1,0
530103,2008-09-21 00:00:00,2008/2009,9869,0,0,2
539575,2008-09-21 00:00:00,2008/2009,9882,0,1,0
539579,2008-09-21 00:00:00,2008/2009,9888,1,0,0
530104,2008-09-21 00:00:00,2008/2009,10205,1,1,0
530106,2008-09-21 00:00:00,2008/2009,10267,1,1,0
499355,2008-09-21 00:00:00,2008/2009,10269,1,0,1
530111,2008-09-21 00:00:00,2008/2009,10281,1,0,1
530118,2008-09-24 00:00:00,2008/2009,8302,1,2,0
530119,2008-09-24 00:00:00,2008/2009,8305,1,2,0
530113,2008-09-24 00:00:00,2008/2009,8371,0,2,1
539592,2008-09-24 00:00:00,2008/2009,8524,1,0,0
539590,2008-09-24 00:00:00,2008/2009,8533,1,0,0
539586,2008-09-24 00:00:00,2008/2009,8543,1,0,0
539583,2008-09-24 00:00:00,2008/2009,8551,1,0,0
530118,2008-09-24 00:00:00,2008/2009,8558,2,1,0
530117,2008-09-24 00:00:00,2008/2009,8603,0,2,1
530116,2008-09-24 00:00:00,2008/2009,8633,2,0,1
530117,2008-09-24 00:00:00,2008/2009,8634,1,1,1
539588,2008-09-24 00:00:00,2008/2009,8636,1,0,0
539584,2008-09-24 00:00:00,2008/2009,8690,0,1,0
530115,2008-09-24 00:00:00,2008/2009,8696,0,2,1
530113,2008-09-24 00:00:00,2008/2009,9783,1,1,1
539591,2008-09-24 00:00:00,2008/2009,9857,0,0,1
530116,2008-09-24 00:00:00,2008/2009,9869,0,0,3
539585,2008-09-24 00:00:00,2008/2009,9875,1,0,0
539587,2008-09-24 00:00:00,2008/2009,9885,1,0,0
